name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,sport_class,url
de ANDRADE Matias,de ANDRADE M,Male,1993-04-22,MAR DEL PLATA,Argentina,Argentina,ARG,Swimming,SWM,MAR DEL PLATA,Argentina,S6,../../../en/results/swimming/athlete-profile-n1406986-de-andrade-matias.htm
de CASTRO Andrey,de CASTRO A,Male,1976-04-12,APUCARANA,Brazil,Brazil,BRA,Archery,ARC,GOIANIA,Brazil,W2,../../../en/results/archery/athlete-profile-n1366867-de-castro-andrey.htm
de FARIA DIAS Daniel,de FARIA DIAS D,Male,1988-05-24,CAMPINAS,Brazil,Brazil,BRA,Swimming,SWM,BRAGANCA PAULISTA,Brazil,S5,../../../en/results/swimming/athlete-profile-n1361234-de-faria-dias-daniel.htm
de FARIA Natali,de FARIA N,Female,1990-02-26,SANTOS,Brazil,Brazil,BRA,Boccia,BOC,SANTOS,Brazil,BC2,../../../en/results/boccia/athlete-profile-n1338013-de-faria-natali.htm
de GROOT Diede,de GROOT D,Female,1996-12-19,WOERDEN,Netherlands,Netherlands,NED,Wheelchair Tennis,WTE,OUDEWATER,Netherlands,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1705967-de-groot-diede.htm
de JESUS SANTOS Edneusa,de JESUS SANTOS E,Female,1976-07-28,SALVADOR,Brazil,Brazil,BRA,Athletics,ATH,RIO CLARO,Brazil,T12,../../../en/results/athletics/athlete-profile-n1376430-de-jesus-santos-edneusa.htm
de JESUS Vitor Antonio,de JESUS VA,Male,1995-10-09,RIO DE JANEIRO,Brazil,Brazil,BRA,Athletics,ATH,SAO PAULO,Brazil,T37,../../../en/results/athletics/athlete-profile-n1361890-de-jesus-vitor-antonio.htm
de JONG Joel,de JONG J,Male,2002-01-17,SNEEK,Netherlands,Netherlands,NED,Athletics,ATH,AMSTERDAM,Netherlands,T63,../../../en/results/athletics/athlete-profile-n1706252-de-jong-joel.htm
de KONING Corne,de KONING C,Male,1989-09-27,GOES,Netherlands,Netherlands,NED,Rowing,ROW,GOES,Netherlands,PR2,../../../en/results/rowing/athlete-profile-n1690398-de-koning-corne.htm
de la BOURDONNAYE Gilles,de la BOURDONNAYE,Male,1973-01-27,DAKAR,Senegal,France,FRA,Table Tennis,TTE,NANTES,France,10,../../../en/results/table-tennis/athlete-profile-n1358006-de-la-bourdonnaye-gilles.htm
de la CRUZ SEVERINO Darlenys,de la CRUZ SEVERI.,Female,2001-05-02,SANTO DOMINGO,Dominican Republic,Dominican Republic,DOM,Athletics,ATH,SANTO DOMINGO,Dominican Republic,T12,../../../en/results/athletics/athlete-profile-n1301906-de-la-cruz-severino-darlenys.htm
de la FOREST Tanguy,de la FOREST T,Male,1978-04-24,RENNES,France,France,FRA,Shooting,SHO,FRANCE,,SH2,../../../en/results/shooting/athlete-profile-n1358145-de-la-forest-tanguy.htm
de la PUENTE Martin,de la PUENTE M,Male,1999-06-22,VIGO,Spain,Spain,ESP,Wheelchair Tennis,WTE,BARCELONA,Spain,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1449062-de-la-puente-martin.htm
de LAS HERAS CHIBAS Noraivis,de LAS HERAS CHIB.,Female,1964-09-19,GUANTANAMO,Cuba,Cuba,CUB,Athletics,ATH,CUBA,,F44,../../../en/results/athletics/athlete-profile-n1326216-de-las-heras-chibas-noraivis.htm
de LAVALETTE Beatrice,de LAVALETTE B,Female,1998-11-29,,France,United States of America,USA,Equestrian,EQU,"LOXAHATCHEE, FL",United States of America,GII,../../../en/results/equestrian/athlete-profile-n1690584-de-lavalette-beatrice.htm
de LIMA Lara Aparecida,de LIMA LA,Female,2003-04-25,UBERLANDIA,Brazil,Brazil,BRA,Powerlifting,PWL,UBERLANDIA,Brazil,PWL,../../../en/results/powerlifting/athlete-profile-n1378550-de-lima-lara-aparecida.htm
de LIMA SILVA Nathalie Filomena,de LIMA SILVA NF,Female,1990-04-13,JACAREI,Brazil,Brazil,BRA,Sitting Volleyball,VBS,SUZANO,Brazil,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1338056-de-lima-silva-nathalie-filomena.htm
de los SANTOS Alfredo,de los SANTOS A,Male,1969-10-17,SANTO DOMINGO,Dominican Republic,United States of America,USA,Cycling Road,CRD,"HOPEWELL JUNCTION, NY",United States of America,H5,../../../en/results/cycling-road/athlete-profile-n1690532-de-los-santos-alfredo.htm
de MELO Alex,de MELO A,Male,1994-12-10,NOVA IGUACU,Brazil,Brazil,BRA,Goalball,GBL,RIO DE JANEIRO,Brazil,B2,../../../en/results/goalball/athlete-profile-n1352370-de-melo-alex.htm
de MORAES Thomaz Ruan,de MORAES TR,Male,2001-08-07,JUNDIAI,Brazil,Brazil,BRA,Athletics,ATH,JUNDIAI,Brazil,T47,../../../en/results/athletics/athlete-profile-n1402414-de-moraes-thomaz-ruan.htm
de OLIVEIRA Andreza Vitoria,de OLIVEIRA AV,Female,2001-01-29,RECIFE,Brazil,Brazil,BRA,Boccia,BOC,RECIFE,Brazil,BC1,../../../en/results/boccia/athlete-profile-n1338088-de-oliveira-andreza-vitoria.htm
de OLIVEIRA DIAS Edwarda,de OLIVEIRA DIAS E,Female,1999-04-22,PINHAO,Brazil,Brazil,BRA,Sitting Volleyball,VBS,SUZANO,Brazil,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1338040-de-oliveira-dias-edwarda.htm
de OLIVEIRA DIAS Gustavo Henrique,de OLIVEIRA DIAS G,Male,2000-05-05,MARILIA,Brazil,Brazil,BRA,Athletics,ATH,MARILIA,Brazil,T20,../../../en/results/athletics/athlete-profile-n1402407-de-oliveira-dias-gustavo-henrique.htm
de OLIVEIRA Evelyn,de OLIVEIRA E,Female,1987-08-17,MAUA,Brazil,Brazil,BRA,Boccia,BOC,SUZANO,Brazil,BC3,../../../en/results/boccia/athlete-profile-n1337999-de-oliveira-evelyn.htm
de OLIVEIRA Jose Carlos Chagas,de OLIVEIRA JCC,Male,1977-08-04,RIBEIRAO PRETO,Brazil,Brazil,BRA,Boccia,BOC,UBERABA,Brazil,BC1,../../../en/results/boccia/athlete-profile-n1338010-de-oliveira-jose-carlos-chagas.htm
de OLIVEIRA Joyce,de OLIVEIRA J,Female,1990-06-24,JUNDIAI,Brazil,Brazil,BRA,Table Tennis,TTE,JUNDIAI,Brazil,4,../../../en/results/table-tennis/athlete-profile-n1361663-de-oliveira-joyce.htm
de OLIVEIRA LEITE Renato,de OLIVEIRA LEITE,Male,1982-08-11,SAO PAULO,Brazil,Brazil,BRA,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1338051-de-oliveira-leite-renato.htm
de PAOLIS Eleonora,de PAOLIS E,Female,1986-06-09,VELLETRI,Italy,Italy,ITA,Canoe Sprint,CSP,,,KL1,../../../en/results/canoe-sprint/athlete-profile-n1534520-de-paolis-eleonora.htm
de REU Maud,de REU M,Female,1999-01-07,ZWOLLE,Netherlands,Netherlands,NED,Equestrian,EQU,,,GIII,../../../en/results/equestrian/athlete-profile-n1710887-de-reu-maud.htm
de ROOIJ Carina,de ROOIJ C,Female,1980-05-10,ZALTBOMMEL,Netherlands,Netherlands,NED,Wheelchair Basketball,WBK,CULEMBORG,Netherlands,3.0,../../../en/results/wheelchair-basketball/athlete-profile-n1708650-de-rooij-carina.htm
de ROZARIO Madison,de ROZARIO M,Female,1993-11-24,"PERTH, WA",Australia,Australia,AUS,Athletics,ATH,,,T53,../../../en/results/athletics/athlete-profile-n1415967-de-rozario-madison.htm
de SOUSA LIMA Lucas,de SOUSA LIMA L,Male,1995-10-19,SAO PAULO,Brazil,Brazil,BRA,Athletics,ATH,SANTO ANDRE,Brazil,T46,../../../en/results/athletics/athlete-profile-n1376427-de-sousa-lima-lucas.htm
de SOUZA GOMES Felipe,de SOUZA GOMES F,Male,1986-04-26,CAMPOS,Brazil,Brazil,BRA,Athletics,ATH,SAO PAULO,Brazil,T11,../../../en/results/athletics/athlete-profile-n1380772-de-souza-gomes-felipe.htm
de SOUZA SOARES Ana Luisa Aparecida,de SOUZA SOARES A,Female,2001-03-28,SAO PAULO,Brazil,Brazil,BRA,Sitting Volleyball,VBS,SAO PAULO,Brazil,VS2,../../../en/results/sitting-volleyball/athlete-profile-n1338034-de-souza-soares-ana-luisa-aparecida.htm
de SOUZA Vanessa Cristina,de SOUZA VC,Female,1989-11-20,SAO PAULO,Brazil,Brazil,BRA,Athletics,ATH,PRAIA GRANDE,Brazil,T54,../../../en/results/athletics/athlete-profile-n1361189-de-souza-vanessa-cristina.htm
de VRIES Tim,de VRIES T,Male,1978-08-10,,,Netherlands,NED,Cycling Road,CRD,VINKEVEEN,Netherlands,H5,../../../en/results/cycling-road/athlete-profile-n1708824-de-vries-tim.htm
DEBERG Jean-Francois,DEBERG JF,Male,1981-11-17,VERVIERS,Belgium,Belgium,BEL,Cycling Road,CRD,LIEGE,Belgium,H3,../../../en/results/cycling-road/athlete-profile-n1488898-deberg-jean-francois.htm
DEBRUNNER Catherine,DEBRUNNER C,Female,1995-04-11,METTENDORF,Switzerland,Switzerland,SUI,Athletics,ATH,,,T53,../../../en/results/athletics/athlete-profile-n1521524-debrunner-catherine.htm
DEDEKIND Katja,DEDEKIND K,Female,2001-08-17,DURBAN,South Africa,Australia,AUS,Swimming,SWM,AUSTRALIA,,S13,../../../en/results/swimming/athlete-profile-n1498315-dedekind-katja.htm
DEDERICK Hannah,DEDERICK H,Female,2002-11-20,SUZHOU,People's Republic of China,United States of America,USA,Athletics,ATH,"LIBERTY LAKE, WA",United States of America,T54,../../../en/results/athletics/athlete-profile-n1662462-dederick-hannah.htm
DEEPAK,DEEPAK,Male,1982-05-08,,,India,IND,Shooting,SHO,,,SH1,../../../en/results/shooting/athlete-profile-n1727066-deepak.htm
DEGTYAREV David,DEGTYAREV D,Male,1996-06-12,ATBASAR,Kazakhstan,Kazakhstan,KAZ,Powerlifting,PWL,ATBASAR,Kazakhstan,PWL,../../../en/results/powerlifting/athlete-profile-n1717182-degtyarev-david.htm
del AMO CANO Alvaro,del AMO CANO A,Male,1990-01-20,MADRID,Spain,Spain,ESP,Athletics,ATH,MADRID,Spain,F11,../../../en/results/athletics/athlete-profile-n1497961-del-amo-cano-alvaro.htm
DELAGRAVE Joseph,DELAGRAVE J,Male,1985-03-21,"RACINE, WI",United States of America,United States of America,USA,Wheelchair Rugby,WRU,"HOLMEN, WI",United States of America,2.0,../../../en/results/wheelchair-rugby/athlete-profile-n1691781-delagrave-joseph.htm
DELALIC Sabahudin,DELALIC S,Male,1972-08-17,SARAJEVO,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1439041-delalic-sabahudin.htm
DELDO GARCIA Angel,DELDO GARCIA A,Male,1987-10-01,RESISTENCIA,Argentina,Argentina,ARG,Football 5-a-side,FB5,RESISTENCIA,Argentina,B1,../../../en/results/football-5-a-side/athlete-profile-n1690094-deldo-garcia-angel.htm
DELGADO Mariela,DELGADO M,Female,1986-07-26,POSADAS,Argentina,Argentina,ARG,Cycling Road,CRD,BUENOS AIRES,Argentina,C5,../../../en/results/cycling-road/athlete-profile-n1436430-delgado-mariela.htm
DELGADO Mariela,DELGADO M,Female,1986-07-26,POSADAS,Argentina,Argentina,ARG,Cycling Track,CTR,BUENOS AIRES,Argentina,C5,../../../en/results/cycling-track/athlete-profile-n1436430-delgado-mariela.htm
DELGADO NADAL Maria,DELGADO NADAL M,Female,1997-10-08,ZARAGOZA,Spain,Spain,ESP,Swimming,SWM,SPAIN,,S12,../../../en/results/swimming/athlete-profile-n1449116-delgado-nadal-maria.htm
DEMA Chimi,DEMA C,Female,1993-08-30,MONGAR,Bhutan,Bhutan,BHU,Athletics,ATH,THIMPHU,Bhutan,F40,../../../en/results/athletics/athlete-profile-n1320662-dema-chimi.htm
DEMBEREL Selengee,DEMBEREL S,Female,1990-01-21,,,Mongolia,MGL,Archery,ARC,ULAANBAATAR,Mongolia,W2,../../../en/results/archery/athlete-profile-n1732225-demberel-selengee.htm
DEMCHUK Andrii,DEMCHUK A,Male,1987-12-14,LVIV,Ukraine,Ukraine,UKR,Wheelchair Fencing,WFE,LVIV,Ukraine,A,../../../en/results/wheelchair-fencing/athlete-profile-n1379382-demchuk-andrii.htm
DEMENTYEV Yehor,DEMENTYEV Y,Male,1987-03-12,DNIPRO,Ukraine,Ukraine,UKR,Cycling Road,CRD,KREMENCHUK,Ukraine,C5,../../../en/results/cycling-road/athlete-profile-n1307921-dementyev-yehor.htm
DEMENTYEV Yehor,DEMENTYEV Y,Male,1987-03-12,DNIPRO,Ukraine,Ukraine,UKR,Cycling Track,CTR,KREMENCHUK,Ukraine,C5,../../../en/results/cycling-track/athlete-profile-n1307921-dementyev-yehor.htm
DEMIR Merve Cansu,DEMIR MC,Female,2001-09-06,,,Turkey,TUR,Table Tennis,TTE,,,10,../../../en/results/table-tennis/athlete-profile-n1729589-demir-merve-cansu.htm
DEMISSE Tamiru,DEMISSE T,Male,1993-10-07,,Ethiopia,Ethiopia,ETH,Athletics,ATH,SULUTU,Ethiopia,T13,../../../en/results/athletics/athlete-profile-n1724622-demisse-tamiru.htm
den BOER Nikita,den BOER N,Female,1991-01-08,HAARLEM,Netherlands,Netherlands,NED,Athletics,ATH,HAARLEM,Netherlands,T54,../../../en/results/athletics/athlete-profile-n1706239-den-boer-nikita.htm
DENG Mingzhu,DENG M,Female,1987-11-10,ZHANJIANG,People's Republic of China,People's Republic of China,CHN,Wheelchair Basketball,WBK,ZHANJIANG,People's Republic of China,2.0,../../../en/results/wheelchair-basketball/athlete-profile-n1708265-deng-mingzhu.htm
DENG Peicheng,DENG P,Male,1996-05-30,,,People's Republic of China,CHN,Athletics,ATH,CHINA,,T36,../../../en/results/athletics/athlete-profile-n1589689-deng-peicheng.htm
DENG Xuemei,DENG X,Female,1991-12-03,GANZHOU,People's Republic of China,People's Republic of China,CHN,Powerlifting,PWL,NANCHANG,People's Republic of China,PWL,../../../en/results/powerlifting/athlete-profile-n1710961-deng-xuemei.htm
DENNIS Amanda,DENNIS A,Female,1994-02-05,"ATLANTA, GA",United States of America,United States of America,USA,Goalball,GBL,,,B2,../../../en/results/goalball/athlete-profile-n1690592-dennis-amanda.htm
DENNIS Michael,DENNIS M,Male,1992-10-13,DUREN,Germany,Germany,GER,Goalball,GBL,MARBURG AN DER LAHN,Germany,B2,../../../en/results/goalball/athlete-profile-n1374528-dennis-michael.htm
DENYSENKO Kateryna,DENYSENKO K,Female,1994-03-07,KYIV,Ukraine,Ukraine,UKR,Swimming,SWM,KYIV,Ukraine,S8,../../../en/results/swimming/athlete-profile-n1341387-denysenko-kateryna.htm
DENYSIUK Oleksii,DENYSIUK O,Male,1989-02-02,VINNYTSIA,Ukraine,Ukraine,UKR,Shooting,SHO,VINNYTSIA,Ukraine,SH1,../../../en/results/shooting/athlete-profile-n1378454-denysiuk-oleksii.htm
DEPERGOLA Mauro,DEPERGOLA M,Male,1981-05-20,MORON,Argentina,Argentina,ARG,Table Tennis,TTE,VICENTE LOPEZ,Argentina,5,../../../en/results/table-tennis/athlete-profile-n1407026-depergola-mauro.htm
DERGOVICS Fabiola,DERGOVICS F,Female,1967-06-23,SAO PAULO,Brazil,Brazil,BRA,Archery,ARC,,,ST,../../../en/results/archery/athlete-profile-n1361761-dergovics-fabiola.htm
DERHEM Zakariae,DERHEM Z,Male,1990-10-09,,,Morocco,MAR,Athletics,ATH,TANGER,Morocco,F33,../../../en/results/athletics/athlete-profile-n1476378-derhem-zakariae.htm
DERUS Michal,DERUS M,Male,1990-09-21,TARNOW,Poland,Poland,POL,Athletics,ATH,TARNOW,Poland,T47,../../../en/results/athletics/athlete-profile-n1422596-derus-michal.htm
DESCARREGA PUIGDEVALL Gerard,DESCARREGA PUIGDE.,Male,1994-05-02,MADRID,Spain,Spain,ESP,Athletics,ATH,SEVILLE,Spain,T11,../../../en/results/athletics/athlete-profile-n1448763-descarrega-puigdevall-gerard.htm
DESINI Sara,DESINI S,Female,1998-11-30,,,Italy,ITA,Sitting Volleyball,VBS,BOLOGNA,Italy,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1543241-desini-sara.htm
DESJARDINS Joey,DESJARDINS J,Male,1986-07-23,,,Canada,CAN,Cycling Road,CRD,"HAWKESBURY, ON",Canada,H3,../../../en/results/cycling-road/athlete-profile-n1525733-desjardins-joey.htm
DETTONI Cristian,DETTONI C,Male,1974-10-08,SANTIAGO,Chile,Chile,CHI,Table Tennis,TTE,SANTIAGO,Chile,6,../../../en/results/table-tennis/athlete-profile-n1307352-dettoni-cristian.htm
DEUTZ Saskia,DEUTZ S,Female,1973-07-24,BERLIN,Germany,Germany,GER,Equestrian,EQU,GERMANY,,GIV,../../../en/results/equestrian/athlete-profile-n1515954-deutz-saskia.htm
DEVENDRA,DEVENDRA,Male,1981-06-10,CHURU,India,India,IND,Athletics,ATH,JAIPUR,India,F46,../../../en/results/athletics/athlete-profile-n1345186-devendra.htm
DEVINE David,DEVINE D,Male,1992-02-13,LIVERPOOL,Great Britain,Great Britain,GBR,Athletics,ATH,,,T12,../../../en/results/athletics/athlete-profile-n1727805-devine-david.htm
DEVOS Laurens,DEVOS L,Male,2000-08-15,MALLE,Belgium,Belgium,BEL,Table Tennis,TTE,,,9,../../../en/results/table-tennis/athlete-profile-n1474511-devos-laurens.htm
DHARAMBIR,DHARAMBIR,Male,1989-01-18,ROHTAK,India,India,IND,Athletics,ATH,,,F51,../../../en/results/athletics/athlete-profile-n1641792-dharambir.htm
DHARMASENA D S R,DHARMASENA DSR,Male,1989-06-24,,,Sri Lanka,SRI,Wheelchair Tennis,WTE,,,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1578939-dharmasena-d-s-r.htm
DHEVA Anrimusthi,DHEVA Anrimusthi,Male,1998-12-05,KUNINGAN,Indonesia,Indonesia,INA,Badminton,BDM,KUNINGAN,Indonesia,SU5,../../../en/results/badminton/athlete-profile-n1722141-dheva-anrimusthi.htm
DI Dongdong,DI D,Male,1993-12-29,LIAOYANG,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,,,T11,../../../en/results/athletics/athlete-profile-n1584798-di-dongdong.htm
di TORO Lisa Daniela,di TORO LD,Female,1974-10-16,"MELBOURNE, VIC",Australia,Australia,AUS,Table Tennis,TTE,"MELBOURNE, VIC",Australia,4,../../../en/results/table-tennis/athlete-profile-n1305148-di-toro-lisa-daniela.htm
DIAKITE Ahmed Tidiane,DIAKITE AT,Male,1982-12-31,NOUAKCHOTT,Mauritania,France,FRA,Football 5-a-side,FB5,,,B1,../../../en/results/football-5-a-side/athlete-profile-n1362639-diakite-ahmed-tidiane.htm
DIALLO DIOUF Amadou,DIALLO DIOUF A,Male,1992-01-04,LAS PALMAS DE GRAN CANARIA,Spain,Spain,ESP,Wheelchair Basketball,WBK,MADRID,Spain,3.0,../../../en/results/wheelchair-basketball/athlete-profile-n1531763-diallo-diouf-amadou.htm
DIAMANTIS Stefanos,DIAMANTIS S,Male,1987-04-06,KARDHITSA,Greece,Greece,GRE,Wheelchair Tennis,WTE,,,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1717251-diamantis-stefanos.htm
DIAS de LIMA Josiane,DIAS de LIMA J,Female,1975-02-25,FLORIANOPOLIS,Brazil,Brazil,BRA,Rowing,ROW,FLORIANOPOLIS,Brazil,PR2,../../../en/results/rowing/athlete-profile-n1382606-dias-de-lima-josiane.htm
DIAZ ALDANA Leonardo,DIAZ ALDANA L,Male,1975-02-16,BAYAMO,Cuba,Cuba,CUB,Athletics,ATH,BAYAMO,Cuba,F56,../../../en/results/athletics/athlete-profile-n1326231-diaz-aldana-leonardo.htm
DIAZ COLON Yaimillie Marie,DIAZ COLON YM,Female,2004-01-11,ARECIBO,Puerto Rico,Puerto Rico,PUR,Athletics,ATH,UTUADO,Puerto Rico,T64,../../../en/results/athletics/athlete-profile-n1396268-diaz-colon-yaimillie-marie.htm
DIAZ Daniel,DIAZ D,Male,1990-05-17,BOGOTA,Colombia,Colombia,COL,Wheelchair Basketball,WBK,,,4.5,../../../en/results/wheelchair-basketball/athlete-profile-n1370317-diaz-daniel.htm
DIAZ Lucas Nicolas,DIAZ LN,Male,1980-05-25,,Argentina,Argentina,ARG,Canoe Sprint,CSP,OLAVARRIA,Argentina,KL1,../../../en/results/canoe-sprint/athlete-profile-n1707193-diaz-lucas-nicolas.htm
DIDIER Ugo,DIDIER U,Male,2001-09-11,LE CHESNAY,France,France,FRA,Swimming,SWM,TOULOUSE,France,"S9,SM9",../../../en/results/swimming/athlete-profile-n1358040-didier-ugo.htm
DIDUKH Viktor,DIDUKH V,Male,1987-01-23,LVIV,Ukraine,Ukraine,UKR,Table Tennis,TTE,LVIV,Ukraine,8,../../../en/results/table-tennis/athlete-profile-n1351205-didukh-viktor.htm
DIEHM Fabian,DIEHM F,Male,1997-10-06,ANSBACH,Germany,Germany,GER,Goalball,GBL,ANSBACH,Germany,B3,../../../en/results/goalball/athlete-profile-n1395087-diehm-fabian.htm
DIENG Ndiaga,DIENG N,Male,1999-07-17,,,Italy,ITA,Athletics,ATH,,,T20,../../../en/results/athletics/athlete-profile-n1681672-dieng-ndiaga.htm
DIETZ Sebastian,DIETZ S,Male,1985-02-25,WORMS,Germany,Germany,GER,Athletics,ATH,HULLHORST,Germany,F36,../../../en/results/athletics/athlete-profile-n1367426-dietz-sebastian.htm
DIMAS VASQUEZ Rey Melchor,DIMAS VASQUEZ RM,Male,1986-01-06,PANAMA CITY,Panama,Panama,PAN,Powerlifting,PWL,PANAMA CITY,Panama,PWL,../../../en/results/powerlifting/athlete-profile-n1360667-dimas-vasquez-rey-melchor.htm
DIMITRIJEVIC Zeljko,DIMITRIJEVIC Z,Male,1971-01-04,PETROVAC NA MLAVI,Serbia,Serbia,SRB,Athletics,ATH,BELGRADE,Serbia,F51,../../../en/results/athletics/athlete-profile-n1724954-dimitrijevic-zeljko.htm
DIMOU Konstantinos,DIMOU K,Male,1981-02-02,ATHENS,Greece,Greece,GRE,Powerlifting,PWL,,,PWL,../../../en/results/powerlifting/athlete-profile-n1717138-dimou-konstantinos.htm
DING Jian,DING J,Male,1999-01-08,,,People's Republic of China,CHN,Sitting Volleyball,VBS,CHINA,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1595731-ding-jian.htm
DING Xiaochao,DING X,Male,1987-07-13,SHANGHAI,People's Republic of China,People's Republic of China,CHN,Sitting Volleyball,VBS,CHINA,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1595303-ding-xiaochao.htm
DINSA Gemechu Amenu,DINSA GA,Male,2000-05-03,,Ethiopia,Ethiopia,ETH,Athletics,ATH,ADDIS ABABA,Ethiopia,T46,../../../en/results/athletics/athlete-profile-n1724947-dinsa-gemechu-amenu.htm
DIODOROVA Anastasia,DIODOROVA A,Female,1990-01-07,MOSCOW,Russian Federation,RPC,RPC,Swimming,SWM,MOSCOW,Russian Federation,S6,../../../en/results/swimming/athlete-profile-n1309703-diodorova-anastasia.htm
DIOUF Youssoupha,DIOUF Y,Male,1986-12-31,JOAL-FADIOUT,Senegal,Senegal,SEN,Athletics,ATH,ITALY,,F57,../../../en/results/athletics/athlete-profile-n1552920-diouf-youssoupha.htm
DISKEN Timothy,DISKEN T,Male,1996-11-03,"MELBOURNE, VIC",Australia,Australia,AUS,Swimming,SWM,"CANBERRA, ACT",Australia,"SB8,S9",../../../en/results/swimming/athlete-profile-n1498316-disken-timothy.htm
DISPALTRO Marco,DISPALTRO M,Male,1967-08-02,"MONTREAL, QC",Canada,Canada,CAN,Boccia,BOC,"MONTREAL, QC",Canada,BC4,../../../en/results/boccia/athlete-profile-n1525644-dispaltro-marco.htm
DISSANAYAKE MUDIYANSELAGE Kumudu P.,DISSANAYAKE MUDIY.,Female,1988-03-26,,Sri Lanka,Sri Lanka,SRI,Athletics,ATH,MONARAGALA,Sri Lanka,T46,../../../en/results/athletics/athlete-profile-n1576162-dissanayake-mudiyanselage-kumudu-p-.htm
DIXON Amy,DIXON A,Female,1975-12-05,"WHITE PLAINS, NY",United States of America,United States of America,USA,Triathlon,TRI,"ENCINITAS, CA",United States of America,PTVI3,../../../en/results/triathlon/athlete-profile-n1691652-dixon-amy.htm
DJELAL Safia,DJELAL S,Female,1983-03-04,,,Algeria,ALG,Athletics,ATH,,,F57,../../../en/results/athletics/athlete-profile-n1362681-djelal-safia.htm
DMITRIEVA Alena,DMITRIEVA A,Female,1982-09-27,KEMPENDYAY,Russian Federation,RPC,RPC,Sitting Volleyball,VBS,MOSCOW,Russian Federation,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1292222-dmitrieva-alena.htm
DO Thanh Hai,DO TH,Male,1990-06-08,CAN THO,Vietnam,Vietnam,VIE,Swimming,SWM,VIETNAM,,SB5,../../../en/results/swimming/athlete-profile-n1718389-do-thanh-hai.htm
DOBROVOLSKAJA Oksana,DOBROVOLSKAJA O,Female,1996-02-06,VILNIUS,Lithuania,Lithuania,LTU,Athletics,ATH,KAUNAS,Lithuania,F11,../../../en/results/athletics/athlete-profile-n1728375-dobrovolskaja-oksana.htm
DODD Hannah,DODD H,Female,1992-04-27,,,Australia,AUS,Wheelchair Basketball,WBK,"SYDNEY, NSW",Australia,1.0,../../../en/results/wheelchair-basketball/athlete-profile-n1425534-dodd-hannah.htm
DOGANGUN Hamide,DOGANGUN H,Female,1993-12-25,ISTANBUL,Turkey,Turkey,TUR,Athletics,ATH,ISTANBUL,Turkey,T53,../../../en/results/athletics/athlete-profile-n1729550-dogangun-hamide.htm
DOKKAN Jens Lasse,DOKKAN JL,Male,1961-02-14,OSLO,Norway,Norway,NOR,Equestrian,EQU,HADERSLEV,Denmark,GI,../../../en/results/equestrian/athlete-profile-n1630050-dokkan-jens-lasse.htm
DOLEZAR Angelena,DOLEZAR A,Female,1985-06-12,"ST. ALBERT, AB",Canada,Canada,CAN,Sitting Volleyball,VBS,CANADA,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1553421-dolezar-angelena.htm
DOLGOVA Olga,DOLGOVA O,Female,1973-06-17,,,RPC,RPC,Boccia,BOC,SEVASTOPOL,Ukraine,BC1,../../../en/results/boccia/athlete-profile-n1303277-dolgova-olga.htm
DOLOH Nadiia,DOLOH N,Female,1986-06-10,TARASIVKA,Ukraine,Ukraine,UKR,Wheelchair Fencing,WFE,UZHHOROD,Ukraine,B,../../../en/results/wheelchair-fencing/athlete-profile-n1379383-doloh-nadiia.htm
DOMASCHENZ Renae,DOMASCHENZ R,Female,1979-02-07,,Australia,Australia,AUS,Rowing,ROW,"CANBERRA, ACT",Australia,CXW,../../../en/results/rowing/athlete-profile-n1409583-domaschenz-renae.htm
DOMBAYEV Nurlan,DOMBAYEV N,Male,1981-08-15,ATYRAU,Kazakhstan,Kazakhstan,KAZ,Taekwondo,TKW,ATYRAU,Kazakhstan,K43,../../../en/results/taekwondo/athlete-profile-n1717068-dombayev-nurlan.htm
DONG Chao,DONG C,Male,1985-12-13,ZIGONG,People's Republic of China,People's Republic of China,CHN,Shooting,SHO,CHINA,,SH1,../../../en/results/shooting/athlete-profile-n1471327-dong-chao.htm
DONG Feixia,DONG F,Female,1989-03-17,XIAN,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,,,F55,../../../en/results/athletics/athlete-profile-n1596946-dong-feixia.htm
DONOHOE Alistair,DONOHOE A,Male,1995-03-03,"NHULUNBUY, NT",Australia,Australia,AUS,Cycling Road,CRD,"MELBOURNE, VIC",Australia,C5,../../../en/results/cycling-road/athlete-profile-n1404418-donohoe-alistair.htm
