medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Gold Medal,1,2021-08-29 00:00:00.0,WEN X,WEN Xiaoyan,W,../../../en/results/athletics/athlete-profile-n1595273-wen-xiaoyan.htm,Women's Long Jump - T37,People's Republic of China,CHN,Athletics,ATH
Silver Medal,2,2021-08-29 00:00:00.0,ROBERTS J,ROBERTS Jaleen,W,../../../en/results/athletics/athlete-profile-n1662476-roberts-jaleen.htm,Women's Long Jump - T37,United States of America,USA,Athletics,ATH
Bronze Medal,3,2021-08-29 00:00:00.0,SAPOZHNIKOVA A,SAPOZHNIKOVA Anna,W,../../../en/results/athletics/athlete-profile-n1353703-sapozhnikova-anna.htm,Women's Long Jump - T37,RPC,RPC,Athletics,ATH
Gold Medal,1,2021-08-29 00:00:00.0,MENDES SANCHEZ PI,MENDES SANCHEZ Poleth Isamar,W,../../../en/results/athletics/athlete-profile-n1334898-mendes-sanchez-poleth-isamar.htm,Women's Shot Put - F20,Ecuador,ECU,Athletics,ATH
Silver Medal,2,2021-08-29 00:00:00.0,MYSNYK A,MYSNYK Anastasiia,W,../../../en/results/athletics/athlete-profile-n1311592-mysnyk-anastasiia.htm,Women's Shot Put - F20,Ukraine,UKR,Athletics,ATH
Bronze Medal,3,2021-08-29 00:00:00.0,MENDEZ A,MENDEZ Anais,W,../../../en/results/athletics/athlete-profile-n1437219-mendez-anais.htm,Women's Shot Put - F20,Ecuador,ECU,Athletics,ATH
Gold Medal,1,2021-08-29 00:00:00.0,PEARSON L,PEARSON Lee,O,../../../en/results/equestrian/athlete-profile-n1706408-pearson-lee.htm,Team Test to Music,Great Britain,GBR,Equestrian,EQU
Gold Medal,1,2021-08-29 00:00:00.0,BAKER N,BAKER Natasha,O,../../../en/results/equestrian/athlete-profile-n1706409-baker-natasha.htm,Team Test to Music,Great Britain,GBR,Equestrian,EQU
Gold Medal,1,2021-08-29 00:00:00.0,WELLS S,WELLS Sophie,O,../../../en/results/equestrian/athlete-profile-n1706410-wells-sophie.htm,Team Test to Music,Great Britain,GBR,Equestrian,EQU
Silver Medal,2,2021-08-29 00:00:00.0,van der HORST R,van der HORST Rixt,O,../../../en/results/equestrian/athlete-profile-n1710884-van-der-horst-rixt.htm,Team Test to Music,Netherlands,NED,Equestrian,EQU
Silver Medal,2,2021-08-29 00:00:00.0,HOSMAR F,HOSMAR Frank,O,../../../en/results/equestrian/athlete-profile-n1710885-hosmar-frank.htm,Team Test to Music,Netherlands,NED,Equestrian,EQU
Silver Medal,2,2021-08-29 00:00:00.0,VOETS S,VOETS Sanne,O,../../../en/results/equestrian/athlete-profile-n1710891-voets-sanne.htm,Team Test to Music,Netherlands,NED,Equestrian,EQU
Bronze Medal,3,2021-08-29 00:00:00.0,SHOEMAKER K,SHOEMAKER Kate,O,../../../en/results/equestrian/athlete-profile-n1708940-shoemaker-kate.htm,Team Test to Music,United States of America,USA,Equestrian,EQU
Bronze Medal,3,2021-08-29 00:00:00.0,HART R,HART Rebecca,O,../../../en/results/equestrian/athlete-profile-n1690589-hart-rebecca.htm,Team Test to Music,United States of America,USA,Equestrian,EQU
Bronze Medal,3,2021-08-29 00:00:00.0,TRUNNELL R,TRUNNELL Roxanne,O,../../../en/results/equestrian/athlete-profile-n1690590-trunnell-roxanne.htm,Team Test to Music,United States of America,USA,Equestrian,EQU
Gold Medal,1,2021-08-29 00:00:00.0,KHEIROLLAHZADEH M,KHEIROLLAHZADEH Mohammadreza,M,../../../en/results/judo/athlete-profile-n1660072-kheirollahzadeh-mohammadreza.htm,Men +100 kg,Islamic Republic of Iran,IRI,Judo,JUD
Silver Medal,2,2021-08-29 00:00:00.0,CHIKOIDZE R,CHIKOIDZE Revaz,M,../../../en/results/judo/athlete-profile-n1804347-chikoidze-revaz.htm,Men +100 kg,Georgia,GEO,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,CHOI GG,CHOI Gwang Geun,M,../../../en/results/judo/athlete-profile-n1709687-choi-gwang-geun.htm,Men +100 kg,Republic of Korea,KOR,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,ZAKIYEV I,ZAKIYEV Ilham,M,../../../en/results/judo/athlete-profile-n1285033-zakiyev-ilham.htm,Men +100 kg,Azerbaijan,AZE,Judo,JUD
Gold Medal,1,2021-08-29 00:00:00.0,SKELLEY C,SKELLEY Christopher,M,../../../en/results/judo/athlete-profile-n1705838-skelley-christopher.htm,Men -100 kg,Great Britain,GBR,Judo,JUD
Silver Medal,2,2021-08-29 00:00:00.0,GOODRICH B,GOODRICH Ben,M,../../../en/results/judo/athlete-profile-n1690609-goodrich-ben.htm,Men -100 kg,United States of America,USA,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,KHALILOV S,KHALILOV Sharif,M,../../../en/results/judo/athlete-profile-n1696937-khalilov-sharif.htm,Men -100 kg,Uzbekistan,UZB,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,SHEVCHENKO A,SHEVCHENKO Anatolii,M,../../../en/results/judo/athlete-profile-n1293706-shevchenko-anatolii.htm,Men -100 kg,RPC,RPC,Judo,JUD
Gold Medal,1,2021-08-29 00:00:00.0,NOURI V,NOURI Vahid,M,../../../en/results/judo/athlete-profile-n1660119-nouri-vahid.htm,Men -90 kg,Islamic Republic of Iran,IRI,Judo,JUD
Silver Medal,2,2021-08-29 00:00:00.0,STEWART E,STEWART Elliot,M,../../../en/results/judo/athlete-profile-n1705843-stewart-elliot.htm,Men -90 kg,Great Britain,GBR,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,NAZARENKO O,NAZARENKO Oleksandr,M,../../../en/results/judo/athlete-profile-n1340782-nazarenko-oleksandr.htm,Men -90 kg,Ukraine,UKR,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,LATCHOUMANAYA H,LATCHOUMANAYA Helios,M,../../../en/results/judo/athlete-profile-n1358114-latchoumanaya-helios.htm,Men -90 kg,France,FRA,Judo,JUD
Gold Medal,1,2021-08-29 00:00:00.0,KARIMOVA D,KARIMOVA Dursadaf,W,../../../en/results/judo/athlete-profile-n1289183-karimova-dursadaf.htm,Women +70 kg,Azerbaijan,AZE,Judo,JUD
Silver Medal,2,2021-08-29 00:00:00.0,BAIBATINA Z,BAIBATINA Zarina,W,../../../en/results/judo/athlete-profile-n1725530-baibatina-zarina.htm,Women +70 kg,Kazakhstan,KAZ,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,EMMERICH M,EMMERICH Meg,W,../../../en/results/judo/athlete-profile-n1352953-emmerich-meg.htm,Women +70 kg,Brazil,BRA,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,COSTA C,COSTA Carolina,W,../../../en/results/judo/athlete-profile-n1534556-costa-carolina.htm,Women +70 kg,Italy,ITA,Judo,JUD
Gold Medal,1,2021-08-29 00:00:00.0,MALDONADO A,MALDONADO Alana,W,../../../en/results/judo/athlete-profile-n1352944-maldonado-alana.htm,Women -70 kg,Brazil,BRA,Judo,JUD
Silver Medal,2,2021-08-29 00:00:00.0,KALDANI I,KALDANI Ina,W,../../../en/results/judo/athlete-profile-n1804545-kaldani-ina.htm,Women -70 kg,Georgia,GEO,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,RUVALCABA ALVAREZ,RUVALCABA ALVAREZ Lenia Fabiola,W,../../../en/results/judo/athlete-profile-n1363320-ruvalcaba-alvarez-lenia-fabiola.htm,Women -70 kg,Mexico,MEX,Judo,JUD
Bronze Medal,3,2021-08-29 00:00:00.0,OGAWA K,OGAWA Kazusa,W,../../../en/results/judo/athlete-profile-n1681493-ogawa-kazusa.htm,Women -70 kg,Japan,JPN,Judo,JUD
Gold Medal,1,2021-08-29 00:00:00.0,KHATTAB AMA,KHATTAB Abdelkareem Mohmmad Ahmad,M,../../../en/results/powerlifting/athlete-profile-n1358531-khattab-abdelkareem-mohmmad-ahmad.htm,Men's -88 kg,Jordan,JOR,Powerlifting,PWL
Silver Medal,2,2021-08-29 00:00:00.0,YE J,YE Jixiong,M,../../../en/results/powerlifting/athlete-profile-n1710943-ye-jixiong.htm,Men's -88 kg,People's Republic of China,CHN,Powerlifting,PWL
Bronze Medal,3,2021-08-29 00:00:00.0,ABDELHADY H,ABDELHADY Hany,M,../../../en/results/powerlifting/athlete-profile-n1465669-abdelhady-hany.htm,Men's -88 kg,Egypt,EGY,Powerlifting,PWL
Gold Medal,1,2021-08-29 00:00:00.0,YAN P,YAN Panpan,M,../../../en/results/powerlifting/athlete-profile-n1710947-yan-panpan.htm,Men's -97 kg,People's Republic of China,CHN,Powerlifting,PWL
Silver Medal,2,2021-08-29 00:00:00.0,SOLHIPOURAVANJI S,SOLHIPOURAVANJI Seyedhamed,M,../../../en/results/powerlifting/athlete-profile-n1557386-solhipouravanji-seyedhamed.htm,Men's -97 kg,Islamic Republic of Iran,IRI,Powerlifting,PWL
Bronze Medal,3,2021-08-29 00:00:00.0,TORRES F,TORRES Fabio,M,../../../en/results/powerlifting/athlete-profile-n1354350-torres-fabio.htm,Men's -97 kg,Colombia,COL,Powerlifting,PWL
Gold Medal,1,2021-08-29 00:00:00.0,D'ANDREA M,D'ANDREA Mariana,W,../../../en/results/powerlifting/athlete-profile-n1543781-d-andrea-mariana.htm,Women's -73 kg,Brazil,BRA,Powerlifting,PWL
Silver Medal,2,2021-08-29 00:00:00.0,XU L,XU Lili,W,../../../en/results/powerlifting/athlete-profile-n1710959-xu-lili.htm,Women's -73 kg,People's Republic of China,CHN,Powerlifting,PWL
Bronze Medal,3,2021-08-29 00:00:00.0,GHAZOUANI S,GHAZOUANI Souhad,W,../../../en/results/powerlifting/athlete-profile-n1358043-ghazouani-souhad.htm,Women's -73 kg,France,FRA,Powerlifting,PWL
Gold Medal,1,2021-08-29 00:00:00.0,OMOLAYO B,OMOLAYO Bose,W,../../../en/results/powerlifting/athlete-profile-n1590886-omolayo-bose.htm,Women's -79 kg,Nigeria,NGR,Powerlifting,PWL
Silver Medal,2,2021-08-29 00:00:00.0,OLIINYK N,OLIINYK Nataliia,W,../../../en/results/powerlifting/athlete-profile-n1325586-oliinyk-nataliia.htm,Women's -79 kg,Ukraine,UKR,Powerlifting,PWL
Bronze Medal,3,2021-08-29 00:00:00.0,MURATOVA V,MURATOVA Vera,W,../../../en/results/powerlifting/athlete-profile-n1293725-muratova-vera.htm,Women's -79 kg,RPC,RPC,Powerlifting,PWL
Gold Medal,1,2021-08-29 00:00:00.0,POLIANSKYI R,POLIANSKYI Roman,M,../../../en/results/rowing/athlete-profile-n1323411-polianskyi-roman.htm,PR1 Men's Single Sculls - PR1M1x,Ukraine,UKR,Rowing,ROW
Silver Medal,2,2021-08-29 00:00:00.0,HORRIE E,HORRIE Erik,M,../../../en/results/rowing/athlete-profile-n1409617-horrie-erik.htm,PR1 Men's Single Sculls - PR1M1x,Australia,AUS,Rowing,ROW
Bronze Medal,3,2021-08-29 00:00:00.0,CAMPOS PEREIRA R,CAMPOS PEREIRA Rene,M,../../../en/results/rowing/athlete-profile-n1361401-campos-pereira-rene.htm,PR1 Men's Single Sculls - PR1M1x,Brazil,BRA,Rowing,ROW
Gold Medal,1,2021-08-29 00:00:00.0,SKARSTEIN BLR,SKARSTEIN Birgit Lovise Roekkum,W,../../../en/results/rowing/athlete-profile-n1646885-skarstein-birgit-lovise-roekkum.htm,PR1 Women's Single Sculls - PR1W1x,Norway,NOR,Rowing,ROW
Silver Medal,2,2021-08-29 00:00:00.0,SAMUEL M,SAMUEL Moran,W,../../../en/results/rowing/athlete-profile-n1293069-samuel-moran.htm,PR1 Women's Single Sculls - PR1W1x,Israel,ISR,Rowing,ROW
Bronze Medal,3,2021-08-29 00:00:00.0,BENOIT N,BENOIT Nathalie,W,../../../en/results/rowing/athlete-profile-n1358136-benoit-nathalie.htm,PR1 Women's Single Sculls - PR1W1x,France,FRA,Rowing,ROW
Gold Medal,1,2021-08-29 00:00:00.0,ROWLES L,ROWLES Lauren,X,../../../en/results/rowing/athlete-profile-n1705765-rowles-lauren.htm,PR2 Mixed Double Sculls - PR2Mix2x,Great Britain,GBR,Rowing,ROW
Gold Medal,1,2021-08-29 00:00:00.0,WHITELEY L,WHITELEY Laurence,X,../../../en/results/rowing/athlete-profile-n1705766-whiteley-laurence.htm,PR2 Mixed Double Sculls - PR2Mix2x,Great Britain,GBR,Rowing,ROW
Silver Medal,2,2021-08-29 00:00:00.0,van der MEER A,van der MEER Annika,X,../../../en/results/rowing/athlete-profile-n1690362-van-der-meer-annika.htm,PR2 Mixed Double Sculls - PR2Mix2x,Netherlands,NED,Rowing,ROW
Silver Medal,2,2021-08-29 00:00:00.0,de KONING C,de KONING Corne,X,../../../en/results/rowing/athlete-profile-n1690398-de-koning-corne.htm,PR2 Mixed Double Sculls - PR2Mix2x,Netherlands,NED,Rowing,ROW
Bronze Medal,3,2021-08-29 00:00:00.0,JIANG J,JIANG Jijian,X,../../../en/results/rowing/athlete-profile-n1708037-jiang-jijian.htm,PR2 Mixed Double Sculls - PR2Mix2x,People's Republic of China,CHN,Rowing,ROW
Bronze Medal,3,2021-08-29 00:00:00.0,LIU S,LIU Shuang,X,../../../en/results/rowing/athlete-profile-n1708201-liu-shuang.htm,PR2 Mixed Double Sculls - PR2Mix2x,People's Republic of China,CHN,Rowing,ROW
Gold Medal,1,2021-08-29 00:00:00.0,FOX J,FOX James,X,../../../en/results/rowing/athlete-profile-n1705764-fox-james.htm,PR3 Mixed Coxed Four - PR3Mix4+,Great Britain,GBR,Rowing,ROW
Gold Medal,1,2021-08-29 00:00:00.0,KENNEDY E,KENNEDY Erin,X,../../../en/results/rowing/athlete-profile-n1705768-kennedy-erin.htm,PR3 Mixed Coxed Four - PR3Mix4+,Great Britain,GBR,Rowing,ROW
Gold Medal,1,2021-08-29 00:00:00.0,STANHOPE O,STANHOPE Oliver,X,../../../en/results/rowing/athlete-profile-n1705770-stanhope-oliver.htm,PR3 Mixed Coxed Four - PR3Mix4+,Great Britain,GBR,Rowing,ROW
Gold Medal,1,2021-08-29 00:00:00.0,BUTTRICK E,BUTTRICK Ellen,X,../../../en/results/rowing/athlete-profile-n1705771-buttrick-ellen.htm,PR3 Mixed Coxed Four - PR3Mix4+,Great Britain,GBR,Rowing,ROW
Gold Medal,1,2021-08-29 00:00:00.0,RAKAUSKAITE G,RAKAUSKAITE Giedre,X,../../../en/results/rowing/athlete-profile-n1705772-rakauskaite-giedre.htm,PR3 Mixed Coxed Four - PR3Mix4+,Great Britain,GBR,Rowing,ROW
Silver Medal,2,2021-08-29 00:00:00.0,NORDIN C,NORDIN Charley,X,../../../en/results/rowing/athlete-profile-n1690626-nordin-charley.htm,PR3 Mixed Coxed Four - PR3Mix4+,United States of America,USA,Rowing,ROW
Silver Medal,2,2021-08-29 00:00:00.0,HANSEN D,HANSEN Danielle,X,../../../en/results/rowing/athlete-profile-n1690627-hansen-danielle.htm,PR3 Mixed Coxed Four - PR3Mix4+,United States of America,USA,Rowing,ROW
Silver Medal,2,2021-08-29 00:00:00.0,TANGUAY J,TANGUAY John,X,../../../en/results/rowing/athlete-profile-n1690632-tanguay-john.htm,PR3 Mixed Coxed Four - PR3Mix4+,United States of America,USA,Rowing,ROW
Silver Medal,2,2021-08-29 00:00:00.0,PETRIK K,PETRIK Karen,X,../../../en/results/rowing/athlete-profile-n1690633-petrik-karen.htm,PR3 Mixed Coxed Four - PR3Mix4+,United States of America,USA,Rowing,ROW
Silver Medal,2,2021-08-29 00:00:00.0,REILLY A,REILLY Allie,X,../../../en/results/rowing/athlete-profile-n1690624-reilly-allie.htm,PR3 Mixed Coxed Four - PR3Mix4+,United States of America,USA,Rowing,ROW
Bronze Medal,3,2021-08-29 00:00:00.0,TARANTO R,TARANTO Remy,X,../../../en/results/rowing/athlete-profile-n1358124-taranto-remy.htm,PR3 Mixed Coxed Four - PR3Mix4+,France,FRA,Rowing,ROW
Bronze Medal,3,2021-08-29 00:00:00.0,SAUZEAU E,SAUZEAU Erika,X,../../../en/results/rowing/athlete-profile-n1358126-sauzeau-erika.htm,PR3 Mixed Coxed Four - PR3Mix4+,France,FRA,Rowing,ROW
Bronze Medal,3,2021-08-29 00:00:00.0,le BARREAU R,le BARREAU Robin,X,../../../en/results/rowing/athlete-profile-n1358129-le-barreau-robin.htm,PR3 Mixed Coxed Four - PR3Mix4+,France,FRA,Rowing,ROW
Bronze Medal,3,2021-08-29 00:00:00.0,JESEL A,JESEL Antoine,X,../../../en/results/rowing/athlete-profile-n1358131-jesel-antoine.htm,PR3 Mixed Coxed Four - PR3Mix4+,France,FRA,Rowing,ROW
Bronze Medal,3,2021-08-29 00:00:00.0,BOULET M,BOULET Margot,X,../../../en/results/rowing/athlete-profile-n1358135-boulet-margot.htm,PR3 Mixed Coxed Four - PR3Mix4+,France,FRA,Rowing,ROW
Gold Medal,1,2021-08-29 00:00:00.0,YAMAGUCHI N,YAMAGUCHI Naohide,M,../../../en/results/swimming/athlete-profile-n1720293-yamaguchi-naohide.htm,Men's 100m Breaststroke - SB14,Japan,JPN,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,MICHEL J,MICHEL Jake,M,../../../en/results/swimming/athlete-profile-n1498340-michel-jake.htm,Men's 100m Breaststroke - SB14,Australia,AUS,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,QUIN S,QUIN Scott,M,../../../en/results/swimming/athlete-profile-n1725302-quin-scott.htm,Men's 100m Breaststroke - SB14,Great Britain,GBR,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,CHERNIAEV D,CHERNIAEV Dmitrii,M,../../../en/results/swimming/athlete-profile-n1325676-cherniaev-dmitrii.htm,Men's 100m Breaststroke - SB4,RPC,RPC,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,FUENTES GARCIA M,FUENTES GARCIA Moises,M,../../../en/results/swimming/athlete-profile-n1354017-fuentes-garcia-moises.htm,Men's 100m Breaststroke - SB4,Colombia,COL,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,TSAPATAKIS A,TSAPATAKIS Antonios,M,../../../en/results/swimming/athlete-profile-n1719450-tsapatakis-antonios.htm,Men's 100m Breaststroke - SB4,Greece,GRE,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,dos SANTOS ARAUJO,dos SANTOS ARAUJO Gabriel Geraldo,M,../../../en/results/swimming/athlete-profile-n1377418-dos-santos-araujo-gabriel-geraldo.htm,Men's 200m Freestyle - S2,Brazil,BRA,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,ABARZA A,ABARZA Alberto,M,../../../en/results/swimming/athlete-profile-n1347418-abarza-alberto.htm,Men's 200m Freestyle - S2,Chile,CHI,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,DANILENKO V,DANILENKO Vladimir,M,../../../en/results/swimming/athlete-profile-n1309699-danilenko-vladimir.htm,Men's 200m Freestyle - S2,RPC,RPC,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,MALYAR M,MALYAR Mark,M,../../../en/results/swimming/athlete-profile-n1282655-malyar-mark.htm,Men's 400m Freestyle - S7,Israel,ISR,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,TRUSOV A,TRUSOV Andrii,M,../../../en/results/swimming/athlete-profile-n1341393-trusov-andrii.htm,Men's 400m Freestyle - S7,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,AUSTIN E,AUSTIN Evan,M,../../../en/results/swimming/athlete-profile-n1690678-austin-evan.htm,Men's 400m Freestyle - S7,United States of America,USA,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,ZOU L,ZOU Liankang,M,../../../en/results/swimming/athlete-profile-n1707528-zou-liankang.htm,Men's 50m Backstroke - S3,People's Republic of China,CHN,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,OSTAPCHENKO D,OSTAPCHENKO Denys,M,../../../en/results/swimming/athlete-profile-n1381547-ostapchenko-denys.htm,Men's 50m Backstroke - S3,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,LOPEZ DIAZ D,LOPEZ DIAZ Diego,M,../../../en/results/swimming/athlete-profile-n1363347-lopez-diaz-diego.htm,Men's 50m Backstroke - S3,Mexico,MEX,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,BOKI I,BOKI Ihar,M,../../../en/results/swimming/athlete-profile-n1336276-boki-ihar.htm,Men's 50m Freestyle - S13,Belarus,BLR,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,YAREMENKO I,YAREMENKO Illia,M,../../../en/results/swimming/athlete-profile-n1341375-yaremenko-illia.htm,Men's 50m Freestyle - S13,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,VERAKSA M,VERAKSA Maksym,M,../../../en/results/swimming/athlete-profile-n1341403-veraksa-maksym.htm,Men's 50m Freestyle - S13,Ukraine,UKR,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,BARLAAM S,BARLAAM Simone,M,../../../en/results/swimming/athlete-profile-n1683090-barlaam-simone.htm,Men's 50m Freestyle - S9,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,TARASOV D,TARASOV Denis,M,../../../en/results/swimming/athlete-profile-n1325671-tarasov-denis.htm,Men's 50m Freestyle - S9,RPC,RPC,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,HILL J,HILL Jamal,M,../../../en/results/swimming/athlete-profile-n1690684-hill-jamal.htm,Men's 50m Freestyle - S9,United States of America,USA,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,ALONSO MORALES M,ALONSO MORALES Michelle,W,../../../en/results/swimming/athlete-profile-n1448821-alonso-morales-michelle.htm,Women's 100m Breaststroke - SB14,Spain,ESP,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,FIDDES L,FIDDES Louise,W,../../../en/results/swimming/athlete-profile-n1725323-fiddes-louise.htm,Women's 100m Breaststroke - SB14,Great Britain,GBR,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,BORGES CARNEIRO B,BORGES CARNEIRO Beatriz,W,../../../en/results/swimming/athlete-profile-n1361230-borges-carneiro-beatriz.htm,Women's 100m Breaststroke - SB14,Brazil,BRA,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,ILLES F,ILLES Fanni,W,../../../en/results/swimming/athlete-profile-n1728678-illes-fanni.htm,Women's 100m Breaststroke - SB4,Hungary,HUN,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,GHIRETTI G,GHIRETTI Giulia,W,../../../en/results/swimming/athlete-profile-n1683690-ghiretti-giulia.htm,Women's 100m Breaststroke - SB4,Italy,ITA,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,YAO C,YAO Cuan,W,../../../en/results/swimming/athlete-profile-n1548884-yao-cuan.htm,Women's 100m Breaststroke - SB4,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,COAN M,COAN McKenzie,W,../../../en/results/swimming/athlete-profile-n1690704-coan-mckenzie.htm,Women's 400m Freestyle - S7,United States of America,USA,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,TERZI G,TERZI Giulia,W,../../../en/results/swimming/athlete-profile-n1683919-terzi-giulia.htm,Women's 400m Freestyle - S7,Italy,ITA,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,GAFFNEY J,GAFFNEY Julia,W,../../../en/results/swimming/athlete-profile-n1690689-gaffney-julia.htm,Women's 400m Freestyle - S7,United States of America,USA,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,SCORTECHINI A,SCORTECHINI Alessia,W,../../../en/results/swimming/athlete-profile-n1683692-scortechini-alessia.htm,Women's 4x100m Freestyle Relay - 34 Pts,Italy,ITA,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,PALAZZO XF,PALAZZO Xenia Francesca,W,../../../en/results/swimming/athlete-profile-n1683898-palazzo-xenia-francesca.htm,Women's 4x100m Freestyle Relay - 34 Pts,Italy,ITA,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,TERZI G,TERZI Giulia,W,../../../en/results/swimming/athlete-profile-n1683919-terzi-giulia.htm,Women's 4x100m Freestyle Relay - 34 Pts,Italy,ITA,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,BIANCO V,BIANCO Vittoria,W,../../../en/results/swimming/athlete-profile-n1684811-bianco-vittoria.htm,Women's 4x100m Freestyle Relay - 34 Pts,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,McCONNELL A,McCONNELL Ashleigh,W,../../../en/results/swimming/athlete-profile-n1498338-mcconnell-ashleigh.htm,Women's 4x100m Freestyle Relay - 34 Pts,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,BEECROFT E,BEECROFT Emily,W,../../../en/results/swimming/athlete-profile-n1498306-beecroft-emily.htm,Women's 4x100m Freestyle Relay - 34 Pts,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,COLE E,COLE Ellie,W,../../../en/results/swimming/athlete-profile-n1498311-cole-ellie.htm,Women's 4x100m Freestyle Relay - 34 Pts,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,VINCENT I,VINCENT Isabella,W,../../../en/results/swimming/athlete-profile-n1861321-vincent-isabella.htm,Women's 4x100m Freestyle Relay - 34 Pts,Australia,AUS,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,BIRD M,BIRD Morgan,W,../../../en/results/swimming/athlete-profile-n1543688-bird-morgan.htm,Women's 4x100m Freestyle Relay - 34 Pts,Canada,CAN,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,DUCHESNE S,DUCHESNE Sabrina,W,../../../en/results/swimming/athlete-profile-n1543694-duchesne-sabrina.htm,Women's 4x100m Freestyle Relay - 34 Pts,Canada,CAN,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,ROXON K,ROXON Katarina,W,../../../en/results/swimming/athlete-profile-n1543707-roxon-katarina.htm,Women's 4x100m Freestyle Relay - 34 Pts,Canada,CAN,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,RIVARD A,RIVARD Aurelie,W,../../../en/results/swimming/athlete-profile-n1543772-rivard-aurelie.htm,Women's 4x100m Freestyle Relay - 34 Pts,Canada,CAN,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,TRIMI A,TRIMI Arjola,W,../../../en/results/swimming/athlete-profile-n1683697-trimi-arjola.htm,Women's 50m Backstroke - S3,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,CHALLIS E,CHALLIS Ellie,W,../../../en/results/swimming/athlete-profile-n1725319-challis-ellie.htm,Women's 50m Backstroke - S3,Great Britain,GBR,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,SHISHOVA I,SHISHOVA Iuliia,W,../../../en/results/swimming/athlete-profile-n1325681-shishova-iuliia.htm,Women's 50m Backstroke - S3,RPC,RPC,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,MA J,MA Jia,W,../../../en/results/swimming/athlete-profile-n1549165-ma-jia.htm,Women's 50m Freestyle - S11,People's Republic of China,CHN,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,LI G,LI Guizhi,W,../../../en/results/swimming/athlete-profile-n1707429-li-guizhi.htm,Women's 50m Freestyle - S11,People's Republic of China,CHN,Swimming,SWM
