Athlete Name,First Game,Sport,Sport Event,Medal Won,Home Country,Host Country,Game Name,Game Season,Year
Valentina CHERKASOVA,Seoul 1988,Shooting,50m rifle 3 positions 3x20 shots women,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Tor HEIESTAD,Seoul 1988,Shooting,50m running target 3030 shot men,GOLD,Norway,Republic of Korea,Seoul 1988,Summer,1988
Raymond Tyler DOWNEY,Seoul 1988,Boxing,67  71kg lightmiddleweight men,BRONZE,Canada,Republic of Korea,Seoul 1988,Summer,1988
Andreas TEWS,Seoul 1988,Boxing,48-51kg flyweight men,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Daniel DUMITRESCU,Seoul 1988,Boxing,54-57kg featherweight men,SILVER,Romania,Republic of Korea,Seoul 1988,Summer,1988
Andreas ZÜLOW,Seoul 1988,Boxing,57-60kg lightweight men,GOLD,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
David Charles BERKOFF,Seoul 1988,Swimming,100m backstroke men,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Stefano BATTISTELLI,Seoul 1988,Swimming,400m individual medley men,BRONZE,Italy,Republic of Korea,Seoul 1988,Summer,1988
Artur WOJDAT,Seoul 1988,Swimming,400m freestyle men,BRONZE,Poland,Republic of Korea,Seoul 1988,Summer,1988
Tamas DARNYI,Seoul 1988,Swimming,200m individual medley men,GOLD,Hungary,Republic of Korea,Seoul 1988,Summer,1988
David Lee WHARTON,Seoul 1988,Swimming,400m individual medley men,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Patrick KUHL,Seoul 1988,Swimming,200m individual medley men,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Catherine PLEWINSKI,Seoul 1988,Swimming,100m freestyle women,BRONZE,France,Republic of Korea,Seoul 1988,Summer,1988
Elena DENDEBEROVA,Seoul 1988,Swimming,200m individual medley women,SILVER,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Yong ZHUANG,Seoul 1988,Swimming,100m freestyle women,SILVER,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Daniela HUNGER,Seoul 1988,Swimming,200m individual medley women,GOLD,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Noemi Ildiko LUNG,Seoul 1988,Swimming,200m individual medley women,BRONZE,Romania,Republic of Korea,Seoul 1988,Summer,1988
Sergio LOPEZ MIRO,Seoul 1988,Swimming,200m breaststroke men,BRONZE,Spain,Republic of Korea,Seoul 1988,Summer,1988
Silvia POLL AHRENS,Seoul 1988,Swimming,200m freestyle women,SILVER,Costa Rica,Republic of Korea,Seoul 1988,Summer,1988
Wenyi YANG,Seoul 1988,Swimming,50m freestyle women,SILVER,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Dmitri VOLKOV,Seoul 1988,Swimming,100m breaststroke men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Manuela MALEEVA-FRAGNIERE,Seoul 1988,Tennis,Singles women,BRONZE,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Zina GARRISON,Seoul 1988,Tennis,Singles women,BRONZE,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Heike FRIEDRICH,Seoul 1988,Swimming,400m freestyle women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Tapio KORJUS,Seoul 1988,Athletics,javelin throw men,GOLD,Finland,Republic of Korea,Seoul 1988,Summer,1988
Paula IVAN,Seoul 1988,Athletics,1500m women,GOLD,Romania,Republic of Korea,Seoul 1988,Summer,1988
Lailute BAIKAUSKAITE,Seoul 1988,Athletics,1500m women,SILVER,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Sabine JOHN,Seoul 1988,Athletics,heptathlon women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Anke BEHMER,Seoul 1988,Athletics,heptathlon women,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Sigrun GRAU,Seoul 1988,Athletics,800m women,GOLD,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Christine WACHTEL,Seoul 1988,Athletics,800m women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Harry Butch . REYNOLDS,Seoul 1988,Athletics,400m men,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Daniel EVERETT,Seoul 1988,Athletics,400m men,BRONZE,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Andre Lamar PHILLIPS,Seoul 1988,Athletics,400m hurdles men,GOLD,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Paul ERENG,Seoul 1988,Athletics,800m men,GOLD,Kenya,Republic of Korea,Seoul 1988,Summer,1988
Rodion GATAULLIN,Seoul 1988,Athletics,pole vault men,SILVER,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Grigoriy YEGOROV,Seoul 1988,Athletics,pole vault men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Vyacheslav IVANENKO,Seoul 1988,Athletics,50km walk men,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Christian SCHENK,Seoul 1988,Athletics,decathlon men,GOLD,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Torsten VOSS,Seoul 1988,Athletics,decathlon men,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Ellen FIEDLER,Seoul 1988,Athletics,400m hurdles women,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Petra MÜLLER,Seoul 1988,Athletics,400m women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Kipkemboi KIMELI,Seoul 1988,Athletics,10000m men,BRONZE,Kenya,Republic of Korea,Seoul 1988,Summer,1988
Peter KOECH,Seoul 1988,Athletics,3000m steeplechase men,SILVER,Kenya,Republic of Korea,Seoul 1988,Summer,1988
Mark Robert ROWLAND,Seoul 1988,Athletics,3000m steeplechase men,BRONZE,Great Britain,Republic of Korea,Seoul 1988,Summer,1988
Olga BONDARENKO,Seoul 1988,Athletics,10000m women,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
John NGUGI,Seoul 1988,Athletics,5000m men,GOLD,Kenya,Republic of Korea,Seoul 1988,Summer,1988
Gloria SIEBERT,Seoul 1988,Athletics,100m hurdles women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Claudia ZACZKIEWICZ-REIDICK,Seoul 1988,Athletics,100m hurdles women,BRONZE,Federal Republic of Germany,Republic of Korea,Seoul 1988,Summer,1988
Khristo Gantchev MARKOV,Seoul 1988,Athletics,triple jump men,GOLD,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Igor LAPSHIN,Seoul 1988,Athletics,triple jump men,SILVER,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Rudolf POVARNITSIN,Seoul 1988,Athletics,high jump men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Joseph Nathaniel Jr. DELOACH,Seoul 1988,Athletics,200m men,GOLD,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Peter RONO,Seoul 1988,Athletics,1500m men,GOLD,Kenya,Republic of Korea,Seoul 1988,Summer,1988
Galina CISTJAKOVA,Seoul 1988,Athletics,long jump women,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Beate KOCH,Seoul 1988,Athletics,javelin throw women,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Martina HELLMANN,Seoul 1988,Athletics,discus throw women,GOLD,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Diana GANSKY,Seoul 1988,Athletics,discus throw women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Vladimir ARTEMOV,Seoul 1988,Gymnastics Artistic,horizontal bar men,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Holger BEHRENDT,Seoul 1988,Gymnastics Artistic,horizontal bar men,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Daniela SILIVAS,Seoul 1988,Gymnastics Artistic,uneven bars women,GOLD,Romania,Republic of Korea,Seoul 1988,Summer,1988
Dagmar KERSTEN,Seoul 1988,Gymnastics Artistic,uneven bars women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Elena SHUSHUNOVA,Seoul 1988,Gymnastics Artistic,uneven bars women,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Phoebe Lan MILLS,Seoul 1988,Gymnastics Artistic,balance beam women,BRONZE,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Lubomir GERASKOV,Seoul 1988,Gymnastics Artistic,pommel horse men,GOLD,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Zsolt BORKAI,Seoul 1988,Gymnastics Artistic,pommel horse men,GOLD,Hungary,Republic of Korea,Seoul 1988,Summer,1988
Sven TIPPELT,Seoul 1988,Gymnastics Artistic,rings men,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Diana DOUDEVA,Seoul 1988,Gymnastics Artistic,floor exercises women,BRONZE,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Gabriela POTORAC,Seoul 1988,Gymnastics Artistic,balance beam women,BRONZE,Romania,Republic of Korea,Seoul 1988,Summer,1988
Jong-Hoon PARK,Seoul 1988,Gymnastics Artistic,vault men,BRONZE,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Grant DAVIES,Seoul 1988,Canoe Sprint,K1 1000m kayak single men,SILVER,Australia,Republic of Korea,Seoul 1988,Summer,1988
Andre Gerhard WOHLLEBE,Seoul 1988,Canoe Sprint,K1 1000m kayak single men,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Jorg SCHMIDT,Seoul 1988,Canoe Sprint,C1 1000m canoe single men,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Andreas STAHLE,Seoul 1988,Canoe Sprint,K1 500m kayak single men,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Jutta BEHRENDT,Seoul 1988,Rowing,single sculls 1x women,GOLD,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Magdalena GEORGIEVA,Seoul 1988,Rowing,single sculls 1x women,BRONZE,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Christian HENN,Seoul 1988,Cycling Road,individual road race men,BRONZE,Federal Republic of Germany,Republic of Korea,Seoul 1988,Summer,1988
Martin VINNICOMBE,Seoul 1988,Cycling Track,1km time trial men,SILVER,Australia,Republic of Korea,Seoul 1988,Summer,1988
Robert LECHNER,Seoul 1988,Cycling Track,1km time trial men,BRONZE,Federal Republic of Germany,Republic of Korea,Seoul 1988,Summer,1988
Gintautas UMARAS,Seoul 1988,Cycling Track,Individual Pursuit men,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Bernd DITTERT,Seoul 1988,Cycling Track,Individual Pursuit men,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Leo PEELEN,Seoul 1988,Cycling Track,Points Race men,SILVER,Netherlands,Republic of Korea,Seoul 1988,Summer,1988
Marat GANEEV,Seoul 1988,Cycling Track,Points Race men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Adriana DUNAVSKA,Seoul 1988,Gymnastics Rhythmic,individual all-round women,SILVER,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Miloslav MECIR,Seoul 1988,Tennis,Singles men,GOLD,Czechoslovakia,Republic of Korea,Seoul 1988,Summer,1988
Timothy C. MAYOTTE,Seoul 1988,Tennis,Singles men,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Bradley N. GILBERT,Seoul 1988,Tennis,Singles men,BRONZE,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Sung-Soo PARK,Seoul 1988,Archery,individual FITA round men,SILVER,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Hee-Kyung WANG,Seoul 1988,Archery,individual FITA round women,SILVER,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Young-Sook YUN,Seoul 1988,Archery,individual FITA round women,BRONZE,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Sevdalin MARINOV,Seoul 1988,Weightlifting,- 52kg (flyweight) men,GOLD,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Zhuo-Qiang HE,Seoul 1988,Weightlifting,- 52kg (flyweight) men,BRONZE,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Borislav GIDIKOV,Seoul 1988,Weightlifting,67.5-75kg middleweight men,GOLD,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Aleksander VARBANOV,Seoul 1988,Weightlifting,67.5-75kg middleweight men,BRONZE,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Stefan TOPUROV,Seoul 1988,Weightlifting,56 - 60kg (featherweight) men,SILVER,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Huan-Ming YE,Seoul 1988,Weightlifting,56 - 60kg (featherweight) men,BRONZE,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Israil ARSAMAKOV,Seoul 1988,Weightlifting,75  825kg lightheavyweight men,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Istvan MESSZI,Seoul 1988,Weightlifting,75  825kg lightheavyweight men,SILVER,Hungary,Republic of Korea,Seoul 1988,Summer,1988
Kyung-Kun LEE,Seoul 1988,Weightlifting,75  825kg lightheavyweight men,BRONZE,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Pavel KUZNETSOV,Seoul 1988,Weightlifting,90  100kg firstheavyweight men,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Jin-He LI,Seoul 1988,Weightlifting,60 - 67.5kg (lightweight) men,BRONZE,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Yuri ZAKHAREVICH,Seoul 1988,Weightlifting,100  110kg heavyweight men,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Jozsef JACSO,Seoul 1988,Weightlifting,100  110kg heavyweight men,SILVER,Hungary,Republic of Korea,Seoul 1988,Summer,1988
Nail MUKHAMEDYAROV,Seoul 1988,Weightlifting,82.5 - 90kg (middle-heavyweight) men,SILVER,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Slawomir ZAWADA,Seoul 1988,Weightlifting,82.5 - 90kg (middle-heavyweight) men,BRONZE,Poland,Republic of Korea,Seoul 1988,Summer,1988
Oksen MIRZOYAN,Seoul 1988,Weightlifting,56kg bantamweight men,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Kevin Yoshimi ASANO,Seoul 1988,Judo,- 60 kg men,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Amiran TOTIKASHVILI,Seoul 1988,Judo,- 60 kg men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Vladimir SHESTAKOV,Seoul 1988,Judo,78  86kg middleweight men,SILVER,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Akinobu OSAKO,Seoul 1988,Judo,78  86kg middleweight men,BRONZE,Japan,Republic of Korea,Seoul 1988,Summer,1988
Grigori VERICHEV,Seoul 1988,Judo,95kg heavyweight men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Dennis STEWART,Seoul 1988,Judo,86  95kg halfheavyweight men,BRONZE,Great Britain,Republic of Korea,Seoul 1988,Summer,1988
Sven LOLL,Seoul 1988,Judo,65 - 71kg (lightweight) men,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Georgi TENADZE,Seoul 1988,Judo,65 - 71kg (lightweight) men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Kyung-Keun LEE,Seoul 1988,Judo,60 - 65kg (half-lightweight) men,GOLD,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Yosuke YAMAMOTO,Seoul 1988,Judo,60 - 65kg (half-lightweight) men,BRONZE,Japan,Republic of Korea,Seoul 1988,Summer,1988
Torsten BRECHOT,Seoul 1988,Judo,71 - 78kg (half-middleweight) men,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Bashir VARAEV,Seoul 1988,Judo,71 - 78kg (half-middleweight) men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Timofei SKRYABIN,Seoul 1988,Boxing,48-51kg flyweight men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Mario GONZALEZ,Seoul 1988,Boxing,48-51kg flyweight men,BRONZE,Mexico,Republic of Korea,Seoul 1988,Summer,1988
Giovanni PARISI,Seoul 1988,Boxing,54-57kg featherweight men,GOLD,Italy,Republic of Korea,Seoul 1988,Summer,1988
Jae-Hyuk LEE,Seoul 1988,Boxing,54-57kg featherweight men,BRONZE,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
George CRAMNE,Seoul 1988,Boxing,57-60kg lightweight men,SILVER,Sweden,Republic of Korea,Seoul 1988,Summer,1988
Romallis ELLIS,Seoul 1988,Boxing,57-60kg lightweight men,BRONZE,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Andrew Lester MAYNARD,Seoul 1988,Boxing,75 - 81kg (light-heavyweight) men,GOLD,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Nurmagomed SHANAVAZOV,Seoul 1988,Boxing,75 - 81kg (light-heavyweight) men,SILVER,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Henryk PETRICH,Seoul 1988,Boxing,75 - 81kg (light-heavyweight) men,BRONZE,Poland,Republic of Korea,Seoul 1988,Summer,1988
Michael CARBAJAL,Seoul 1988,Boxing,48kg lightflyweight men,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Robert ISASZEGI,Seoul 1988,Boxing,48kg lightflyweight men,BRONZE,Hungary,Republic of Korea,Seoul 1988,Summer,1988
Leopoldo SERANTES,Seoul 1988,Boxing,48kg lightflyweight men,BRONZE,Philippines,Republic of Korea,Seoul 1988,Summer,1988
Si-Hun PARK,Seoul 1988,Boxing,67  71kg lightmiddleweight men,GOLD,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Roy L. Ilnd JONES,Seoul 1988,Boxing,67  71kg lightmiddleweight men,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Richard WOODHALL,Seoul 1988,Boxing,67  71kg lightmiddleweight men,BRONZE,Great Britain,Republic of Korea,Seoul 1988,Summer,1988
Robert WANGILA,Seoul 1988,Boxing,63.5-67kg welterweight men,GOLD,Kenya,Republic of Korea,Seoul 1988,Summer,1988
Laurent BOUDOUANI,Seoul 1988,Boxing,63.5-67kg welterweight men,SILVER,France,Republic of Korea,Seoul 1988,Summer,1988
Jan DYDAK,Seoul 1988,Boxing,63.5-67kg welterweight men,BRONZE,Poland,Republic of Korea,Seoul 1988,Summer,1988
Kenneth GOULD,Seoul 1988,Boxing,63.5-67kg welterweight men,BRONZE,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Kennedy MCKINNEY,Seoul 1988,Boxing,51-54kg bantamweight men,GOLD,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Jorge Eliecer JULIO ROCHA,Seoul 1988,Boxing,51-54kg bantamweight men,BRONZE,Colombia,Republic of Korea,Seoul 1988,Summer,1988
Phajol MOOLSAN,Seoul 1988,Boxing,51-54kg bantamweight men,BRONZE,Thailand,Republic of Korea,Seoul 1988,Summer,1988
Henry MASKE,Seoul 1988,Boxing,71-75kg men,GOLD,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Egerton MARCUS,Seoul 1988,Boxing,71-75kg men,SILVER,Canada,Republic of Korea,Seoul 1988,Summer,1988
Christopher SANDE,Seoul 1988,Boxing,71-75kg men,BRONZE,Kenya,Republic of Korea,Seoul 1988,Summer,1988
Riddick Lamont BOWE,Seoul 1988,Boxing,91kg super heavyweight men,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Aleksandr MIROSHNICHENKO,Seoul 1988,Boxing,91kg super heavyweight men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Janusz ZARENKIEWICZ,Seoul 1988,Boxing,91kg super heavyweight men,BRONZE,Poland,Republic of Korea,Seoul 1988,Summer,1988
Raymond A. MERCER,Seoul 1988,Boxing,81-91kg heavyweight men,GOLD,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Andrzej GOLOTA,Seoul 1988,Boxing,81-91kg heavyweight men,BRONZE,Poland,Republic of Korea,Seoul 1988,Summer,1988
Vyacheslav YANOVSKI,Seoul 1988,Boxing,60 - 63.5kg (light-welterweight) men,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Grahame CHENEY,Seoul 1988,Boxing,60 - 63.5kg (light-welterweight) men,SILVER,Australia,Republic of Korea,Seoul 1988,Summer,1988
Lars MYRBERG,Seoul 1988,Boxing,60 - 63.5kg (light-welterweight) men,BRONZE,Sweden,Republic of Korea,Seoul 1988,Summer,1988
Jesus MENA CAMPOS,Seoul 1988,Diving,10m platform men,BRONZE,Mexico,Republic of Korea,Seoul 1988,Summer,1988
Qing LI,Seoul 1988,Diving,3m springboard women,SILVER,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Yan-Mei XU,Seoul 1988,Diving,10m platform women,GOLD,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Wendy Lian WILLIAMS,Seoul 1988,Diving,10m platform women,BRONZE,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Uwe DASSLER,Seoul 1988,Swimming,1500m freestyle men,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Kristin OTTO,Seoul 1988,Swimming,100m butterfly women,GOLD,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Birte WEIGANG,Seoul 1988,Swimming,100m butterfly women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Igor POLYANSKI,Seoul 1988,Swimming,200m backstroke men,GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Frank BALTRUSCH,Seoul 1988,Swimming,200m backstroke men,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Kathrin ZIMMERMANN,Seoul 1988,Swimming,200m backstroke women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Cornelia SIRCH,Seoul 1988,Swimming,200m backstroke women,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Antoaneta FRENKEVA,Seoul 1988,Swimming,100m breaststroke women,SILVER,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Silke HÖRNER,Seoul 1988,Swimming,100m breaststroke women,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Xiao-Min HUANG,Seoul 1988,Swimming,200m breaststroke women,SILVER,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Manuela STELLMACH,Seoul 1988,Swimming,200m freestyle women,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Vadim YAROSHCHUK,Seoul 1988,Swimming,200m individual medley men,BRONZE,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Jozsef SZABO,Seoul 1988,Swimming,200m breaststroke men,GOLD,Hungary,Republic of Korea,Seoul 1988,Summer,1988
Anke MÖHRING,Seoul 1988,Swimming,400m freestyle women,BRONZE,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Duncan ARMSTRONG,Seoul 1988,Swimming,400m freestyle men,SILVER,Australia,Republic of Korea,Seoul 1988,Summer,1988
Kathleen NORD,Seoul 1988,Swimming,200m butterfly women,GOLD,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Astrid STRAUSS,Seoul 1988,Swimming,800m freestyle women,SILVER,German Democratic Republic (Germany),Republic of Korea,Seoul 1988,Summer,1988
Benny Leo NIELSEN,Seoul 1988,Swimming,200m butterfly men,SILVER,Denmark,Republic of Korea,Seoul 1988,Summer,1988
Christopher Charles JACOBS,Seoul 1988,Swimming,100m freestyle men,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Jan D. BOERSMA,Seoul 1988,Sailing,Division II - Windsurfer men,SILVER,Netherlands Antilles,Republic of Korea,Seoul 1988,Summer,1988
John CUTLER,Seoul 1988,Sailing,Finn - One Person Dinghy (Heavyweight) men,BRONZE,New Zealand,Republic of Korea,Seoul 1988,Summer,1988
Gregory Alan BEST,Seoul 1988,Equestrian Jumping,individual mixed,SILVER,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Karsten HUCK,Seoul 1988,Equestrian Jumping,individual mixed,BRONZE,Federal Republic of Germany,Republic of Korea,Seoul 1988,Summer,1988
Miloslav BEDNARIK,Seoul 1988,Shooting,trap 125 targets men,SILVER,Czechoslovakia,Republic of Korea,Seoul 1988,Summer,1988
Necmi GENCALP,Seoul 1988,Wrestling,"Middleweight, Freestyle (≤82 kilograms) Men",SILVER,Turkey,Republic of Korea,Seoul 1988,Summer,1988
Stoyan BALOV,Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men",SILVER,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Stepan SARKISYAN,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men",SILVER,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Simeon CHTEREV,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men",BRONZE,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Takashi KOBAYASHI,Seoul 1988,Wrestling,"Light-Flyweight, Freestyle (≤48 kilograms) Men",GOLD,Japan,Republic of Korea,Seoul 1988,Summer,1988
Nathaniel CARR,Seoul 1988,Wrestling,"Lightweight, Freestyle (≤68 kilograms) Men",BRONZE,United States of America,Republic of Korea,Seoul 1988,Summer,1988
Jae-Suk LEE,Seoul 1988,Wrestling,"Flyweight, Greco-Roman (≤52 kilograms) Men",BRONZE,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Levon DJULFALAKIAN,Seoul 1988,Wrestling,"Lightweight, Greco-Roman (≤68 kilograms) Men",GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Gerhard HIMMEL,Seoul 1988,Wrestling,"Heavyweight, Greco-Roman (≤100 kilograms) Men",SILVER,Federal Republic of Germany,Republic of Korea,Seoul 1988,Summer,1988
Mikhail MAMIASHVILI,Seoul 1988,Wrestling,"Middleweight, Greco-Roman (≤82 kilograms) Men",GOLD,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Jivko VANGELOV,Seoul 1988,Wrestling,"Featherweight, Greco-Roman (≤62 kilograms) Men",SILVER,Bulgaria,Republic of Korea,Seoul 1988,Summer,1988
Dae-Hyun AN,Seoul 1988,Wrestling,"Featherweight, Greco-Roman (≤62 kilograms) Men",BRONZE,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Adlan VARAEV,Seoul 1988,Wrestling,"Welterweight, Freestyle (≤74 kilograms) Men",SILVER,Soviet Union,Republic of Korea,Seoul 1988,Summer,1988
Andrzej GLAB,Seoul 1988,Wrestling,"Light-Flyweight, Greco-Roman (≤48 kilograms) Men",SILVER,Poland,Republic of Korea,Seoul 1988,Summer,1988
