name,gender,country,athlete_index,athletes_sent,athletes_total,athlete_%
BRUCKMANN Felix,Male,Germany,1,96,148,64.86486486486487
BRUGGER Janosch,Male,Germany,1,96,148,64.86486486486487
BRUGGISSER Phillip,Male,Denmark,1,34,63,53.96825396825397
BUKARTS Rihards,Male,Latvia,1,50,61,81.9672131147541
BUKARTS Roberts,Male,Latvia,1,50,61,81.9672131147541
BUKIN Ivan,Male,ROC,1,108,217,49.76958525345622
BURGENER Patrick,Male,Switzerland,1,95,169,56.213017751479285
BURKHALTER Joscha,Male,Switzerland,1,95,169,56.213017751479285
BURMAN Jens,Male,Sweden,1,64,118,54.23728813559322
BURNOTTE Jules,Male,Canada,1,109,215,50.697674418604656
BURNS Robert,Male,United States of America,1,116,225,51.55555555555556
BUROV Ilia,Male,ROC,1,108,217,49.76958525345622
BUROV Maxim,Male,ROC,1,108,217,49.76958525345622
BURVALL Hugo,Male,Sweden,1,64,118,54.23728813559322
BURY Dominik,Male,Poland,1,27,57,47.368421052631575
BURY Kamil,Male,Poland,1,27,57,47.368421052631575
BUZZI Raffaele,Male,Italy,1,72,119,60.50420168067227
BYCHENKO Alexei,Male,Israel,1,4,6,66.66666666666666
BYKANOV Vladislav,Male,Israel,1,4,6,66.66666666666666
CABECA Jose,Male,Portugal,1,2,3,66.66666666666666
CACINA Daniel Andrei,Male,Romania,1,13,21,61.904761904761905
CACKETT Greg,Male,Great Britain,1,27,49,55.10204081632652
CAJKOVSKY Michal,Male,Slovakia,1,37,50,74.0
CARRILLO Donovan,Male,Mexico,1,3,4,75.0
CASANOVA Gian,Male,Switzerland,1,95,169,56.213017751479285
CASSINELLI Andrea,Male,Italy,1,72,119,60.50420168067227
CATER Martin,Male,Slovenia,1,23,44,52.27272727272727
CATES Noah,Male,United States of America,1,116,225,51.55555555555556
CAVET Benjamin,Male,France,1,50,86,58.139534883720934
CAVIEZEL Dario,Male,Switzerland,1,95,169,56.213017751479285
CAVIEZEL Gino,Male,Switzerland,1,95,169,56.213017751479285
CEHLARIK Peter,Male,Slovakia,1,37,50,74.0
CEPURAN Ethan,Male,United States of America,1,116,225,51.55555555555556
CERESNAK Peter,Male,Slovakia,1,37,50,74.0
CERNY Ondrej,Male,Czech Republic,1,59,115,51.30434782608696
CERVENKA Roman,Male,Czech Republic,1,59,115,51.30434782608696
CHA Junhwan,Male,Republic of Korea,1,35,65,53.84615384615385
CHA Min Kyu,Male,Republic of Korea,1,35,65,53.84615384615385
CHABLOZ Yannick,Male,Switzerland,1,95,169,56.213017751479285
CHANAVAT Lucas,Male,France,1,50,86,58.139534883720934
CHANLOUNG Mark,Male,Thailand,1,2,4,50.0
CHAPUIS Jean Frederic,Male,France,1,50,86,58.139534883720934
CHEN Degen,Male,People's Republic of China,1,95,182,52.197802197802204
CHEN Nathan,Male,United States of America,1,116,225,51.55555555555556
CHEN Zimeng,Male,People's Republic of China,1,95,182,52.197802197802204
CHENG Fangming,Male,People's Republic of China,1,95,182,52.197802197802204
CHERVOTKIN Alexey,Male,ROC,1,108,217,49.76958525345622
CHIBISOV Andrei,Male,ROC,1,108,217,49.76958525345622
CHMIELEWSKI Wojciech,Male,Poland,1,27,57,47.368421052631575
CHO Jung Myung,Male,Republic of Korea,1,35,65,53.84615384615385
CHRISTIANSEN Vetle Sjaastad,Male,Norway,1,54,84,64.28571428571429
CHU Sidney K,Male,"Hong Kong, China",1,2,3,66.66666666666666
CHUNG Jae Won,Male,Republic of Korea,1,35,65,53.84615384615385
CHURCH Hunter,Male,United States of America,1,116,225,51.55555555555556
CIBULSKIS Oskars,Male,Latvia,1,50,61,81.9672131147541
CIPULIS Emils,Male,Latvia,1,50,61,81.9672131147541
CIRENZHANDUI,Male,People's Republic of China,1,95,182,52.197802197802204
CIZERON Guillaume,Male,France,1,50,86,58.139534883720934
CLAREY Johan,Male,France,1,50,86,58.139534883720934
CLAUDE Fabien,Male,France,1,50,86,58.139534883720934
CLAUDE Florent,Male,Belgium,1,11,19,57.89473684210527
CLUGNET James,Male,Great Britain,1,27,49,55.10204081632652
COAKWELL Benjamin,Male,Canada,1,109,215,50.697674418604656
COCHRAN-SIEGLE Ryan,Male,United States of America,1,116,225,51.55555555555556
COLLINS Tiarn,Male,New Zealand,1,9,15,60.0
COLOGNA Dario,Male,Switzerland,1,95,169,56.213017751479285
COLTEA George,Male,Romania,1,13,21,61.904761904761905
COMMESSO Drew,Male,United States of America,1,116,225,51.55555555555556
CONFORTOLA Yuri,Male,Italy,1,72,119,60.50420168067227
COOPER Brian,Male,United States of America,1,116,225,51.55555555555556
CORATTI Edwin,Male,Italy,1,72,119,60.50420168067227
COREY Brendan,Male,Australia,1,21,44,47.72727272727273
CORNING Chris,Male,United States of America,1,116,225,51.55555555555556
CORVI Enzo,Male,Switzerland,1,95,169,56.213017751479285
COSTA Samuel,Male,Italy,1,72,119,60.50420168067227
COX Matthew,Male,Australia,1,21,44,47.72727272727273
CRACKNELL Adam,Male,Canada,1,109,215,50.697674418604656
CRAWFORD James,Male,Canada,1,109,215,50.697674418604656
CRETU Valentin,Male,Romania,1,13,21,61.904761904761905
CRUMPTON Nathan,Male,American Samoa,1,1,1,100.0
CRV Vili,Male,Slovenia,1,23,44,52.27272727272727
CYR Antoine,Male,Canada,1,109,215,50.697674418604656
D ARTOIS Simon,Male,Canada,1,109,215,50.697674418604656
DAHL Ferdinand,Male,Norway,1,54,84,64.28571428571429
DAHM Sebastian,Male,Denmark,1,34,63,53.96825396825397
