name,gender,country,discipline,discipline_code,medal_type,athlete_index,athletes_sent,athletes_total,athlete_%,medal_count
BUKIN Ivan,Male,ROC,Figure Skating,FSK,,1,119,235,50.638297872340424,60
BURGENER Patrick,Male,Switzerland,Snowboard,SBD,,1,95,173,54.91329479768786,5
BURKHALTER Joscha,Male,Switzerland,Biathlon,BTH,,1,95,173,54.91329479768786,5
BURMAN Jens,Male,Sweden,Cross-Country Skiing,CCS,,1,66,126,52.38095238095239,12
BURNOTTE Jules,Male,Canada,Biathlon,BTH,,1,113,223,50.672645739910315,28
BURNS Robert,Male,United States of America,Snowboard,SBD,,1,118,231,51.082251082251084,20
BUROV Ilia,Male,ROC,Freestyle Skiing,FRS,Bronze,1,119,235,50.638297872340424,60
BUROV Maxim,Male,ROC,Freestyle Skiing,FRS,,1,119,235,50.638297872340424,60
BURVALL Hugo,Male,Sweden,Freestyle Skiing,FRS,,1,66,126,52.38095238095239,12
BURY Dominik,Male,Poland,Cross-Country Skiing,CCS,,1,27,57,47.368421052631575,1
BURY Kamil,Male,Poland,Cross-Country Skiing,CCS,,1,27,57,47.368421052631575,1
BUZZI Raffaele,Male,Italy,Nordic Combined,NCB,,1,76,127,59.84251968503938,13
BYCHENKO Alexei,Male,Israel,Figure Skating,FSK,,1,4,6,66.66666666666666,0
BYKANOV Vladislav,Male,Israel,Short Track Speed Skating,STK,,1,4,6,66.66666666666666,0
CABECA Jose,Male,Portugal,Cross-Country Skiing,CCS,,1,2,3,66.66666666666666,0
CACINA Daniel Andrei,Male,Romania,Ski Jumping,SJP,,1,13,21,61.904761904761905,0
CACKETT Greg,Male,Great Britain,Bobsleigh,BOB,,1,27,49,55.10204081632652,5
CAJKOVSKY Michal,Male,Slovakia,Ice Hockey,IHO,Bronze,1,37,50,74.0,25
CARRILLO Donovan,Male,Mexico,Figure Skating,FSK,,1,3,4,75.0,0
CASANOVA Gian,Male,Switzerland,Snowboard,SBD,,1,95,173,54.91329479768786,5
CASSINELLI Andrea,Male,Italy,Short Track Speed Skating,STK,Silver,1,76,127,59.84251968503938,13
CASSINELLI Andrea,Male,Italy,Short Track Speed Skating,STK,Bronze,1,76,127,59.84251968503938,13
CATER Martin,Male,Slovenia,Alpine Skiing,ALP,,1,25,48,52.083333333333336,8
CATES Noah,Male,United States of America,Ice Hockey,IHO,,1,118,231,51.082251082251084,20
CAVET Benjamin,Male,France,Freestyle Skiing,FRS,,1,55,92,59.78260869565217,17
CAVIEZEL Dario,Male,Switzerland,Snowboard,SBD,,1,95,173,54.91329479768786,5
CAVIEZEL Gino,Male,Switzerland,Alpine Skiing,ALP,,1,95,173,54.91329479768786,5
CEHLARIK Peter,Male,Slovakia,Ice Hockey,IHO,Bronze,1,37,50,74.0,25
CEPURAN Ethan,Male,United States of America,Speed Skating,SSK,Bronze,1,118,231,51.082251082251084,20
CERESNAK Peter,Male,Slovakia,Ice Hockey,IHO,Bronze,1,37,50,74.0,25
CERNY Ondrej,Male,Czech Republic,Cross-Country Skiing,CCS,,1,59,115,51.30434782608696,0
CERVENKA Roman,Male,Czech Republic,Ice Hockey,IHO,,1,59,115,51.30434782608696,0
CHA Junhwan,Male,Republic of Korea,Figure Skating,FSK,,1,36,68,52.94117647058824,10
CHA Min Kyu,Male,Republic of Korea,Speed Skating,SSK,Silver,1,36,68,52.94117647058824,10
CHABLOZ Yannick,Male,Switzerland,Alpine Skiing,ALP,,1,95,173,54.91329479768786,5
CHANAVAT Lucas,Male,France,Cross-Country Skiing,CCS,,1,55,92,59.78260869565217,17
CHANLOUNG Mark,Male,Thailand,Cross-Country Skiing,CCS,,1,2,4,50.0,0
CHAPUIS Jean Frederic,Male,France,Freestyle Skiing,FRS,,1,55,92,59.78260869565217,17
CHEN Degen,Male,People's Republic of China,Cross-Country Skiing,CCS,,1,98,191,51.30890052356021,11
CHEN Nathan,Male,United States of America,Figure Skating,FSK,Silver,1,118,231,51.082251082251084,20
CHEN Nathan,Male,United States of America,Figure Skating,FSK,Gold,1,118,231,51.082251082251084,20
CHEN Zimeng,Male,People's Republic of China,Ice Hockey,IHO,,1,98,191,51.30890052356021,11
CHENG Fangming,Male,People's Republic of China,Biathlon,BTH,,1,98,191,51.30890052356021,11
CHERVOTKIN Alexey,Male,ROC,Cross-Country Skiing,CCS,Gold,1,119,235,50.638297872340424,60
CHIBISOV Andrei,Male,ROC,Ice Hockey,IHO,Silver,1,119,235,50.638297872340424,60
CHMIELEWSKI Wojciech,Male,Poland,Luge,LUG,,1,27,57,47.368421052631575,1
CHO Jung Myung,Male,Republic of Korea,Luge,LUG,,1,36,68,52.94117647058824,10
CHRISTIANSEN Vetle Sjaastad,Male,Norway,Biathlon,BTH,Gold,1,70,108,64.81481481481481,43
CHRISTIANSEN Vetle Sjaastad,Male,Norway,Biathlon,BTH,Bronze,1,70,108,64.81481481481481,43
CHU Sidney K,Male,"Hong Kong, China",Short Track Speed Skating,STK,,1,2,3,66.66666666666666,0
CHUNG Jae Won,Male,Republic of Korea,Speed Skating,SSK,Silver,1,36,68,52.94117647058824,10
CHURCH Hunter,Male,United States of America,Bobsleigh,BOB,,1,118,231,51.082251082251084,20
CIBULSKIS Oskars,Male,Latvia,Ice Hockey,IHO,,1,50,61,81.9672131147541,3
CIPULIS Emils,Male,Latvia,Bobsleigh,BOB,,1,50,61,81.9672131147541,3
CIRENZHANDUI,Male,People's Republic of China,Cross-Country Skiing,CCS,,1,98,191,51.30890052356021,11
CIZERON Guillaume,Male,France,Figure Skating,FSK,Gold,1,55,92,59.78260869565217,17
CLAREY Johan,Male,France,Alpine Skiing,ALP,Silver,1,55,92,59.78260869565217,17
CLAUDE Fabien,Male,France,Biathlon,BTH,Silver,1,55,92,59.78260869565217,17
CLAUDE Florent,Male,Belgium,Biathlon,BTH,,1,11,19,57.89473684210527,1
CLUGNET James,Male,Great Britain,Cross-Country Skiing,CCS,,1,27,49,55.10204081632652,5
COAKWELL Benjamin,Male,Canada,Bobsleigh,BOB,Bronze,1,113,223,50.672645739910315,28
COCHRAN-SIEGLE Ryan,Male,United States of America,Alpine Skiing,ALP,Silver,1,118,231,51.082251082251084,20
COLLINS Tiarn,Male,New Zealand,Snowboard,SBD,,1,9,16,56.25,1
COLOGNA Dario,Male,Switzerland,Cross-Country Skiing,CCS,,1,95,173,54.91329479768786,5
COLTEA George,Male,Romania,Biathlon,BTH,,1,13,21,61.904761904761905,0
COMMESSO Drew,Male,United States of America,Ice Hockey,IHO,,1,118,231,51.082251082251084,20
CONFORTOLA Yuri,Male,Italy,Short Track Speed Skating,STK,Silver,1,76,127,59.84251968503938,13
CONFORTOLA Yuri,Male,Italy,Short Track Speed Skating,STK,Bronze,1,76,127,59.84251968503938,13
COOPER Brian,Male,United States of America,Ice Hockey,IHO,,1,118,231,51.082251082251084,20
CORATTI Edwin,Male,Italy,Snowboard,SBD,,1,76,127,59.84251968503938,13
COREY Brendan,Male,Australia,Short Track Speed Skating,STK,,1,21,44,47.72727272727273,1
CORNING Chris,Male,United States of America,Snowboard,SBD,,1,118,231,51.082251082251084,20
CORVI Enzo,Male,Switzerland,Ice Hockey,IHO,,1,95,173,54.91329479768786,5
COSTA Samuel,Male,Italy,Nordic Combined,NCB,,1,76,127,59.84251968503938,13
COX Matthew,Male,Australia,Snowboard,SBD,,1,21,44,47.72727272727273,1
CRACKNELL Adam,Male,Canada,Ice Hockey,IHO,,1,113,223,50.672645739910315,28
CRAWFORD James,Male,Canada,Alpine Skiing,ALP,Bronze,1,113,223,50.672645739910315,28
CRETU Valentin,Male,Romania,Luge,LUG,,1,13,21,61.904761904761905,0
CRUMPTON Nathan,Male,American Samoa,Skeleton,SKN,,1,1,1,100.0,0
CRV Vili,Male,Slovenia,Cross-Country Skiing,CCS,,1,25,48,52.083333333333336,8
CYR Antoine,Male,Canada,Cross-Country Skiing,CCS,,1,113,223,50.672645739910315,28
D ARTOIS Simon,Male,Canada,Freestyle Skiing,FRS,,1,113,223,50.672645739910315,28
DAHL Ferdinand,Male,Norway,Freestyle Skiing,FRS,,1,70,108,64.81481481481481,43
DAHM Sebastian,Male,Denmark,Ice Hockey,IHO,,1,34,63,53.96825396825397,0
DAL FARRA Franco,Male,Argentina,Cross-Country Skiing,CCS,,1,2,6,33.33333333333333,0
DALOGA Marek,Male,Slovakia,Ice Hockey,IHO,Bronze,1,37,50,74.0,25
DANEK Lukas,Male,Czech Republic,Nordic Combined,NCB,,1,59,115,51.30434782608696,0
DANNISI Aoxibofu,Male,People's Republic of China,Ice Hockey,IHO,,1,98,191,51.30890052356021,11
DANO Marko,Male,Slovakia,Ice Hockey,IHO,Bronze,1,37,50,74.0,25
DARENSKYI Artem,Male,Ukraine,Figure Skating,FSK,,1,24,46,52.17391304347826,1
DAROCZI Nicolae Ciprian,Male,Romania,Bobsleigh,BOB,,1,13,21,61.904761904761905,0
DARZINS Lauris,Male,Latvia,Ice Hockey,IHO,,1,50,61,81.9672131147541,3
DARZNIEKS Arturs,Male,Latvia,Luge,LUG,,1,50,61,81.9672131147541,3
DAUGAVINS Kaspars,Male,Latvia,Ice Hockey,IHO,,1,50,61,81.9672131147541,3
DAVIES Oliver,Male,Great Britain,Freestyle Skiing,FRS,,1,27,49,55.10204081632652,5
DAWSON Casey,Male,United States of America,Speed Skating,SSK,Bronze,1,118,231,51.082251082251084,20
de ALIPRANDINI Luca,Male,Italy,Alpine Skiing,ALP,,1,76,127,59.84251968503938,13
de BLOIS Glenn,Male,Netherlands,Snowboard,SBD,,1,23,51,45.09803921568628,5
de BRUIN Ivo,Male,Netherlands,Bobsleigh,BOB,,1,23,51,45.09803921568628,5
de CAMPO Seve,Male,Australia,Cross-Country Skiing,CCS,,1,21,44,47.72727272727273,1
de CRUZ Peter,Male,Switzerland,Curling,CUR,,1,95,173,54.91329479768786,5
De FABIANI Francesco,Male,Italy,Cross-Country Skiing,CCS,,1,76,127,59.84251968503938,13
de la ROSE Jacob,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
de LAAT Itzhak,Male,Netherlands,Short Track Speed Skating,STK,,1,23,51,45.09803921568628,5
de MARRE Thibaut,Male,Belgium,Cross-Country Skiing,CCS,,1,11,19,57.89473684210527,1
DEAN Decker,Male,United States of America,Ski Jumping,SJP,,1,118,231,51.082251082251084,20
DEARBORN Jay,Male,Canada,Bobsleigh,BOB,,1,113,223,50.672645739910315,28
DEHARI Dardan,Male,North Macedonia,Alpine Skiing,ALP,,1,2,3,66.66666666666666,0
DELDUCA Frank,Male,United States of America,Bobsleigh,BOB,,1,118,231,51.082251082251084,20
DEMERS Jason,Male,Canada,Ice Hockey,IHO,,1,113,223,50.672645739910315,28
DENISYEV Aleksandr,Male,ROC,Luge,LUG,,1,119,235,50.638297872340424,60
DEROMEDIS Simone,Male,Italy,Freestyle Skiing,FRS,,1,76,127,59.84251968503938,13
